Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,38.494999,41.334999,37.200001,40.375000,40.375000,78064600
2015-04-01,40.314999,44.075001,38.529999,38.775002,38.775002,137075000
2015-05-01,38.904999,39.845001,38.075001,39.205002,39.205002,70144000
2015-06-01,39.290001,43.150002,38.775002,41.720001,41.720001,72424400
2015-07-01,42.130001,50.009998,41.654999,49.665001,49.665001,117772600
2015-08-01,49.830002,50.910000,40.060001,47.764999,47.764999,124133000
2015-09-01,46.680000,52.945000,46.259998,48.389999,48.389999,124841000
2015-10-01,48.529999,52.369999,44.005001,47.540001,47.540001,150088600
2015-11-01,47.619999,48.770000,42.095001,43.110001,43.110001,136937000
2015-12-01,43.395000,44.279999,38.889999,40.305000,40.305000,124259800
2016-01-01,39.834999,43.145000,31.615000,42.715000,42.715000,227761800
2016-02-01,42.400002,42.974998,35.165001,41.845001,41.845001,161189400
2016-03-01,42.070000,43.415001,39.450001,42.415001,42.415001,105838800
2016-04-01,42.025002,47.950001,40.009998,43.939999,43.939999,143157300
2016-05-01,43.889999,44.099998,36.200001,37.730000,37.730000,136912300
2016-06-01,37.730000,40.279999,35.349998,40.130001,40.130001,161171600
2016-07-01,40.119999,44.680000,38.849998,39.459999,39.459999,101315900
2016-08-01,39.549999,43.849998,37.230000,39.630001,39.630001,82417400
2016-09-01,39.869999,40.150002,37.720001,38.680000,38.680000,84321900
2016-10-01,38.810001,39.200001,30.570000,31.100000,31.100000,170872300
2016-11-01,31.260000,32.610001,30.059999,30.799999,30.799999,117972600
2016-12-01,30.799999,33.450001,29.000000,29.049999,29.049999,86922500
2017-01-01,29.340000,31.059999,20.799999,21.490000,21.490000,120134000
2017-02-01,21.650000,22.340000,20.440001,20.620001,20.620001,124389300
2017-03-01,20.730000,21.049999,18.400000,19.780001,19.780001,113889500
2017-04-01,19.969999,22.120001,18.809999,21.490000,21.490000,121808300
2017-05-01,21.520000,21.610001,18.350000,19.160000,19.160000,98839300
2017-06-01,19.240000,23.459999,19.049999,21.760000,21.760000,113351000
2017-07-01,21.940001,22.370001,19.129999,20.020000,20.020000,87107500
2017-08-01,19.100000,19.450001,16.120001,16.150000,16.150000,111187500
2017-09-01,16.209999,18.190001,15.920000,16.480000,16.480000,81819200
2017-10-01,16.459999,17.610001,12.480000,12.520000,12.520000,152740700
2017-11-01,12.470000,13.880000,11.400000,13.290000,13.290000,160281000
2017-12-01,13.300000,16.190001,12.730000,14.430000,14.430000,109711200
2018-01-01,14.590000,16.850000,13.480000,13.860000,13.860000,136540800
2018-02-01,13.780000,18.750000,12.500000,16.580000,16.580000,176457700
2018-03-01,16.690001,17.730000,15.600000,16.350000,16.350000,126556100
2018-04-01,16.000000,18.280001,15.850000,17.760000,17.760000,117729600
2018-05-01,16.850000,21.809999,16.410000,20.900000,20.900000,128787500
2018-06-01,21.200001,24.690001,21.070000,22.480000,22.480000,129784200
2018-07-01,22.290001,22.860001,19.760000,19.969999,19.969999,98257000
2018-08-01,19.840000,22.080000,18.900000,20.450001,20.450001,93975500
2018-09-01,20.510000,21.610001,18.450001,21.219999,21.219999,84390500
2018-10-01,21.379999,23.879999,17.340000,22.110001,22.110001,144816400
2018-11-01,22.110001,24.580000,20.290001,23.879999,23.879999,98680700
2018-12-01,24.430000,24.959999,16.520000,17.670000,17.670000,134621000
2019-01-01,17.440001,21.520000,17.110001,20.740000,20.740000,83496800
2019-02-01,20.690001,23.080000,19.750000,22.549999,22.549999,137525600
2019-03-01,22.910000,23.410000,20.450001,21.139999,21.139999,78115600
2019-04-01,21.280001,23.170000,20.559999,23.090000,23.090000,76256100
2019-05-01,23.160000,24.309999,20.840000,22.799999,22.799999,133275500
2019-06-01,22.730000,27.500000,22.709999,25.350000,25.350000,92508000
2019-07-01,25.809999,27.719999,22.049999,23.070000,23.070000,103852100
2019-08-01,23.049999,23.160000,17.639999,18.610001,18.610001,110116600
2019-09-01,18.610001,21.879999,18.240000,19.940001,19.940001,78627300
2019-10-01,20.010000,21.469999,18.680000,20.650000,20.650000,72877000
2019-11-01,20.809999,21.309999,16.740000,18.889999,18.889999,144497700
2019-12-01,18.950001,21.889999,17.910000,21.600000,21.600000,80278900
2020-01-01,21.830000,21.959999,19.549999,20.180000,20.180000,104085900
2020-02-01,20.330000,21.160000,20.090000,20.250000,20.250000,24375300
2020-02-07,20.830000,20.850000,20.090000,20.250000,20.250000,5220021
