Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,896.75,898.00,823.00,830.85,5523918,262815,4775163631.00,1651620,29.90,75.00,-65.90
February-2014,829.00,829.40,794.00,799.25,4097363,174092,3333327527.00,1565862,38.22,35.40,-29.75
March-2014,800.00,939.30,798.00,929.50,8633859,316013,7620988362.00,3890162,45.06,141.30,129.50
April-2014,935.05,988.90,930.00,935.30,6560890,285842,6262436777.00,3264615,49.76,58.90,0.25
May-2014,941.00,1142.50,925.00,1065.15,11434861,640775,12038184515.00,4637522,40.56,217.50,124.15
June-2014,1073.15,1132.80,1000.10,1014.70,8233114,513530,8806148304.00,2509083,30.48,132.70,-58.45
July-2014,1016.00,1042.50,959.00,1006.00,7772886,462363,7810357590.00,2794058,35.95,83.50,-10.00
August-2014,998.40,1023.25,971.60,999.25,5273893,266054,5230480472.00,2356991,44.69,51.65,0.85
September-2014,1003.15,1049.90,918.10,945.35,6409846,347651,6315069107.00,2214602,34.55,131.80,-57.80
October-2014,944.80,1002.70,912.75,999.20,7273760,321867,6890410348.00,3149294,43.30,89.95,54.40
November-2014,1002.00,1016.20,964.15,990.85,4731270,235734,4670816641.00,1644036,34.75,52.05,-11.15
December-2014,989.40,991.70,859.95,891.15,9155808,356776,8271501310.00,4182229,45.68,131.75,-98.25
January-2015,885.50,934.25,831.10,915.35,9869437,409592,8582062360.00,4309509,43.67,103.15,29.85
February-2015,915.15,943.10,837.10,866.25,8812618,363745,7806661976.00,3189721,36.19,106.00,-48.90
March-2015,869.85,909.00,796.75,824.70,8133925,372882,6950477669.00,3047927,37.47,112.25,-45.15
April-2015,824.95,943.80,814.00,862.85,8462614,425041,7483856558.00,2897012,34.23,129.80,37.90
May-2015,867.00,915.50,857.90,877.15,6902299,225621,6108691325.00,2091885,30.31,57.60,10.15
June-2015,877.00,1013.80,874.00,1000.45,11641485,313485,11083293241.00,3611181,31.02,139.80,123.45
July-2015,1002.40,1067.00,984.30,1001.65,9600630,236189,9747913543.00,3677019,38.30,82.70,-0.75
August-2015,1001.15,1013.20,819.00,856.80,7651509,221326,7038600808.00,2110609,27.58,194.20,-144.35
September-2015,852.55,899.00,825.25,860.50,8519428,176227,7261931824.00,4071860,47.79,73.75,7.95
October-2015,872.00,974.00,858.80,947.85,4773882,146696,4403414663.00,1243661,26.05,115.20,75.85
November-2015,946.10,992.00,910.00,968.00,4201879,136008,3982325107.00,1079107,25.68,82.00,21.90
December-2015,966.40,1018.50,913.00,1012.60,5667572,167036,5538909581.00,1685575,29.74,105.50,46.20
January-2016,1010.00,1089.50,978.15,1035.05,17971880,345349,18362994780.00,9160077,50.97,111.35,25.05
February-2016,1040.00,1041.00,888.50,966.55,10394659,239594,9947374343.00,4705903,45.27,152.50,-73.45
