Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,1774.00,1805.80,1514.10,1525.60,5294461,352125,8699559650.00,1232763,23.28,291.70,-248.40
February-2014,1530.00,1539.95,1455.95,1531.70,7200365,295817,10862658883.00,3802294,52.81,84.00,1.70
March-2014,1530.00,1939.00,1515.15,1918.30,6067726,364160,10307150349.00,1530022,25.22,423.85,388.30
April-2014,1932.30,2124.50,1867.40,2078.95,4623257,398992,9258846024.00,880602,19.05,257.10,146.65
May-2014,2090.00,2833.85,2035.45,2541.90,9132648,860701,22285966273.00,2215448,24.26,798.40,451.90
June-2014,2547.30,2760.00,2528.00,2685.90,5426253,521286,14410037759.00,1078183,19.87,232.00,138.60
July-2014,2698.30,2728.95,2369.70,2439.75,5381744,484597,13816672044.00,1323604,24.59,359.25,-258.55
August-2014,2415.90,2576.50,2351.10,2460.45,4398262,410061,10771680620.00,955201,21.72,225.40,44.55
September-2014,2475.00,2644.75,2348.00,2442.35,5366304,428921,13542678050.00,1429386,26.64,296.75,-32.65
October-2014,2445.00,2706.00,2345.20,2701.65,4290943,324039,10928501606.00,1286161,29.97,360.80,256.65
November-2014,2705.00,2977.85,291.05,321.45,21386179,623660,16496999762.00,7668527,35.86,2686.80,-2383.55
December-2014,323.00,327.10,287.20,311.85,39552410,673194,12285403489.00,11236797,28.41,39.90,-11.15
January-2015,312.00,335.90,295.40,310.00,39070193,646182,12340432752.00,16011082,40.98,40.50,-2.00
February-2015,309.95,313.15,276.00,301.60,54447724,1061254,16152142013.00,14215779,26.11,37.15,-8.35
March-2015,305.30,315.80,255.25,267.00,40741246,745401,11549016211.00,12713380,31.21,60.55,-38.30
April-2015,266.90,294.50,263.65,270.05,25971690,482687,7264209134.00,6696433,25.78,30.85,3.15
May-2015,274.00,305.00,259.95,278.15,42144684,468903,11862169758.00,13213351,31.35,45.05,4.15
June-2015,279.00,281.95,249.15,262.80,37226006,357010,9707176029.00,13034443,35.01,32.80,-16.20
July-2015,262.00,274.60,252.40,270.40,21633897,230876,5767399302.00,5996042,27.72,22.20,8.40
August-2015,270.70,291.85,240.10,247.10,45556090,517195,12215986729.00,11859312,26.03,51.75,-23.60
September-2015,245.10,248.50,220.60,237.25,34790731,397675,8173227238.00,9091811,26.13,27.90,-7.85
October-2015,242.00,257.90,234.90,237.20,19509403,234324,4784523450.00,5484016,28.11,23.00,-4.80
November-2015,238.70,252.90,232.85,250.45,21560974,223720,5238970502.00,4531015,21.01,20.05,11.75
December-2015,250.45,251.85,224.00,224.40,23780341,240043,5540468381.00,7293717,30.67,27.85,-26.05
January-2016,225.00,228.90,171.60,179.95,46677159,440894,9029810026.00,13910940,29.80,57.30,-45.05
February-2016,182.00,182.50,148.30,158.40,81538095,682685,13203414835.00,16832919,20.64,34.20,-23.60
March-2016,160.00,198.75,159.00,194.30,52289028,446668,9641118873.00,10028758,19.18,39.75,34.30
