Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,2180.00,2384.20,2150.00,2236.20,2778322,211908,6292049948.00,920013,33.11,234.20,56.20
February-2014,2227.00,2277.00,2088.00,2272.80,1485563,117116,3219374936.00,525904,35.40,189.00,45.80
March-2014,2270.00,2296.90,2014.70,2128.25,3348870,164069,7157924698.00,1840590,54.96,282.20,-141.75
April-2014,2145.00,2270.00,2101.15,2189.40,1874192,194375,4093368788.00,672724,35.89,168.85,44.40
May-2014,2194.00,2253.65,2000.50,2144.20,3019206,210620,6494912099.00,1623806,53.78,253.15,-49.80
June-2014,2147.00,2427.00,2062.50,2419.45,2058687,190725,4571117481.00,674951,32.79,364.50,272.45
July-2014,2415.00,2613.35,2336.00,2577.30,1413667,178792,3494188408.00,348606,24.66,277.35,162.30
August-2014,2577.00,2588.00,2425.95,2524.60,1342004,144443,3341343394.00,530962,39.56,162.05,-52.40
September-2014,2525.00,2780.00,2515.00,2738.20,1523230,159205,4040513891.00,618002,40.57,265.00,213.20
October-2014,2749.00,2834.00,2415.65,2604.55,2510523,252007,6447161904.00,1076291,42.87,418.35,-144.45
November-2014,2645.00,2688.00,2551.00,2643.10,980896,144542,2553912388.00,376686,38.40,137.00,-1.90
December-2014,2643.00,2709.00,2348.25,2554.70,1253975,181739,3148813465.00,449156,35.82,360.75,-88.30
January-2015,2554.35,2599.05,2407.40,2481.00,2486487,207767,6255326910.00,1464377,58.89,191.65,-73.35
February-2015,2482.10,2727.00,2436.00,2675.30,1611720,200168,4158669890.00,586485,36.39,291.00,193.20
March-2015,2675.10,2810.00,2501.65,2547.05,1423069,199773,3736563832.00,447879,31.47,308.35,-128.05
April-2015,2565.00,2712.00,2402.00,2466.65,2452454,217528,6134339020.00,750624,30.61,310.00,-98.35
May-2015,2482.00,2646.95,2456.60,2610.60,2734559,128164,6908024564.00,1996279,73.00,190.35,128.60
June-2015,2610.25,2644.85,2477.00,2552.20,1116353,79795,2863794646.00,439177,39.34,167.85,-58.05
