Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2014,230.25,236.00,203.00,221.55,4149899,88093,919336770.00,1088396,26.23,33.00,-8.70
February-2014,221.55,247.35,216.10,242.20,3147007,68660,730517742.00,979985,31.14,31.25,20.65
March-2014,243.20,268.30,239.15,262.45,3468698,74438,879408532.00,809034,23.32,29.15,19.25
April-2014,265.55,275.00,252.15,254.75,1901185,59598,499606950.00,475889,25.03,22.85,-10.80
May-2014,256.00,347.65,255.05,310.75,7376480,200123,2261777204.00,1429966,19.39,92.60,54.75
June-2014,311.00,360.90,303.30,352.65,5040057,136698,1675911121.00,1193945,23.69,57.60,41.65
July-2014,352.70,362.70,318.15,341.05,2902739,84834,986459361.00,582438,20.07,44.55,-11.65
August-2014,338.90,372.00,321.00,362.95,2428157,68796,855060883.00,461446,19.00,51.00,24.05
September-2014,365.00,409.75,365.00,407.65,3238242,89255,1257967824.00,721892,22.29,44.75,42.65
October-2014,409.75,424.25,365.10,393.20,2774075,76306,1105170292.00,924214,33.32,59.15,-16.55
November-2014,395.00,395.75,354.35,370.05,2420719,69855,907343232.00,680930,28.13,41.40,-24.95
December-2014,400.00,400.00,345.50,381.25,2239555,78304,851585647.00,526453,23.51,54.50,-18.75
January-2015,381.25,443.90,369.15,430.55,2646878,98172,1073628045.00,628659,23.75,74.75,49.30
February-2015,431.80,448.00,409.30,420.50,2368860,91538,1012141763.00,529400,22.35,38.70,-11.30
March-2015,420.00,421.50,384.30,392.00,1672569,63859,671774120.00,531097,31.75,37.20,-28.00
April-2015,391.40,422.45,379.00,382.80,1371762,61153,547134040.00,437538,31.90,43.45,-8.60
May-2015,383.05,394.00,335.00,377.50,2102052,70740,764663882.00,435690,20.73,59.00,-5.55
June-2015,379.65,379.65,337.00,366.15,1272994,36154,455173105.00,395433,31.06,42.65,-13.50
July-2015,367.00,367.40,320.80,323.85,1991264,44403,687515425.00,535206,26.88,46.60,-43.15
August-2015,323.00,351.75,314.50,337.75,23082525,56757,7589310758.00,21191961,91.81,37.25,14.75
September-2015,335.00,339.00,311.50,318.15,1588871,29149,520130792.00,858613,54.04,27.50,-16.85
October-2015,315.00,357.85,303.00,348.70,1515109,42010,512874459.00,275841,18.21,54.85,33.70
November-2015,333.55,392.00,330.00,382.00,1350250,39815,487837873.00,257057,19.04,62.00,48.45
December-2015,383.00,383.70,340.00,346.70,3413289,41664,1232765937.00,2148555,62.95,43.70,-36.30
January-2016,346.70,366.50,327.60,363.90,2143852,42847,744581398.00,1244710,58.06,38.90,17.20
February-2016,365.90,375.70,303.00,316.35,2640967,60907,923548668.00,1221870,46.27,72.70,-49.55
March-2016,316.70,359.80,311.00,338.80,11274800,59420,3805140509.00,10170998,90.21,48.80,22.10
April-2016,342.00,384.50,333.90,355.40,1704512,51830,612572586.00,897548,52.66,50.60,13.40
May-2016,361.00,384.80,352.05,359.20,2516496,65269,919665532.00,632026,25.12,32.75,-1.80
June-2016,358.95,408.95,351.75,404.70,1529902,44264,575510296.00,377097,24.65,57.20,45.75
July-2016,410.00,434.95,398.10,419.05,2593474,36828,1064180692.00,1273104,49.09,36.85,9.05
August-2016,423.35,429.25,392.75,418.15,2261920,52707,924208577.00,762319,33.70,36.50,-5.20
September-2016,418.20,445.00,384.20,395.65,1333513,38688,553615158.00,360334,27.02,60.80,-22.55
October-2016,399.00,410.00,355.00,381.85,2651390,44629,1018574875.00,1360514,51.31,55.00,-17.15
November-2016,382.00,384.00,296.30,322.05,4034262,87446,1341713538.00,1328088,32.92,87.70,-59.95
December-2016,326.45,335.40,307.00,325.75,13781560,47131,4378009580.00,12272553,89.05,28.40,-0.70
January-2017,326.00,377.90,325.55,362.80,1451621,40637,520035238.00,302491,20.84,52.35,36.80
February-2017,364.75,459.00,359.00,436.65,2661899,69590,1120508321.00,494024,18.56,100.00,71.90
March-2017,436.65,470.50,428.10,461.30,1276565,40289,575080632.00,413151,32.36,42.40,24.65
April-2017,461.50,495.00,456.40,471.25,1544928,34012,744875683.00,301248,19.50,38.60,9.75
May-2017,470.95,505.65,460.05,474.70,5407173,48476,2589713284.00,3443681,63.69,45.60,3.75
