Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,10155,10333,8810.099609,8973.75,8686.054688,159208
2014-02-01,8955,9594,8850,9404.75,9103.236328,99289
2014-03-01,9490,11000,9180,10892.299805,10543.095703,149808
2014-04-01,10740,11030,10052,10537.299805,10199.476563,121009
2014-05-01,10537.299805,13330,10300,12355.200195,11959.09375,196492
2014-06-01,12475,13670,11710,13557,13190.12793,194404
2014-07-01,13661.900391,14099,12680.799805,13405.299805,13042.535156,170640
2014-08-01,13401,14998,13300,14809.900391,14409.124023,157248
2014-09-01,14900,15350,14490,15014.799805,14608.478516,226749
2014-10-01,15025,15200,14135.200195,14900.799805,14497.563477,81826
2014-11-01,15045,19570,14905.700195,18919.800781,18407.806641,420439
2014-12-01,18999,21150,18213.199219,19459.599609,18932.996094,690267
2015-01-01,19307.099609,23989,18900,23824.300781,23179.583984,505544
2015-02-01,23824.300781,27398.900391,22000,26589.300781,25869.757813,2070102
2015-03-01,25890,27990,24672,25421.300781,24733.367188,1153415
2015-04-01,25488,26796.900391,20433.900391,22503.800781,21894.818359,522072
2015-05-01,22503.800781,23900,19798.199219,23668.800781,23028.291016,615501
2015-06-01,23800,23860,19625.099609,21852.300781,21260.949219,562575
2015-07-01,21900,24908.099609,21573,24669.699219,24002.103516,458386
2015-08-01,24669.699219,26719.900391,21550.800781,23122.800781,22497.068359,804368
2015-09-01,23011.099609,23247,19082.800781,19386.800781,18925.517578,663676
2015-10-01,19525,22049.900391,19211.699219,20457.5,19970.742188,473084
2015-11-01,20460.199219,20890,18112.800781,18721.599609,18276.144531,501052
2015-12-01,18850,19112,17873.099609,18647.900391,18204.197266,409759
2016-01-01,18650,19420,16855,17495.900391,17079.609375,417258
2016-02-01,17650,17788.900391,15736,16736.5,16338.276367,431843
2016-03-01,16929.900391,21000,16740.300781,20587.199219,20097.353516,582288
2016-04-01,20825,20825,18850,19664,19196.121094,276030
2016-05-01,19660,22541.099609,18964,22347.599609,21815.869141,451059
2016-06-01,22300.099609,23098,20800,22648.800781,22109.902344,373400
2016-07-01,22700,25141.099609,22125,24976.599609,24475.839844,316926
2016-08-01,25025,25670.800781,23300,24167.800781,23683.257813,496978
2016-09-01,24280,24844.199219,22459.5,22797.800781,22340.726563,287013
2016-10-01,22930,23550,21800,21891.099609,21452.201172,229855
2016-11-01,21900,22377.599609,17671.599609,20525.300781,20113.787109,361246
2016-12-01,20511,21300,18973.300781,21049.900391,20627.867188,318282
2017-01-01,21200,23035,20020,22130.800781,21687.097656,297538
2017-02-01,22319,24000,21176,21583.199219,21150.474609,342229
2017-03-01,21600,23399,21070.099609,22751.199219,22370.992188,409680
2017-04-01,22640,23700,22331.5,22991.599609,22607.371094,245264
2017-05-01,22991.599609,24889.800781,22500,23337.900391,22947.886719,344522
2017-06-01,23127,25240,22715.699219,23327.199219,22937.365234,302183
2017-07-01,23327.199219,24869,23106.800781,24178.099609,23863.923828,242967
2017-08-01,24379,25180,21400,21986.800781,21701.099609,350750
2017-09-01,22140,22650,20450,20545.099609,20278.132813,229431
2017-10-01,20545.099609,22243.300781,20350,21012.199219,20739.162109,206361
2017-11-01,21030,21268,18802.400391,20333.800781,20069.580078,481496
2017-12-01,20498,21388.800781,19087.800781,20165.599609,19903.5625,472312
2018-01-01,20165,20620,19291.099609,19400.199219,19148.109375,317776
2018-02-01,19475,20028.900391,18587.800781,18687.300781,18444.474609,327759
2018-03-01,18701.199219,18759.699219,16975,18017.599609,17783.474609,492912
2018-04-01,18300,20298,17777.800781,19404.800781,19152.650391,382315
2018-05-01,19404.800781,19700,17250,18367.5,18128.828125,288386
2018-06-01,18299,19137.199219,17152,17509.900391,17282.373047,323093
2018-07-01,17550,19126.900391,17252.099609,18720.699219,18575.417969,231631
2018-08-01,18732,22400,18552.099609,21990.300781,21819.646484,448572
2018-09-01,21990.300781,22350,19300,19934.099609,19779.402344,456276
2018-10-01,19800,19950,17614.099609,19746.5,19593.257813,367955
2018-11-01,20455.199219,20500,18280,18973.199219,18825.958984,618551
2018-12-01,19019.199219,20000,18292.900391,19611.199219,19459.007813,609656
