Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,916.5,950.950012,855.400024,881.900024,852.719177,11656350
2014-02-01,882,1002.400024,882,995.450012,962.511963,11925383
2014-03-01,998,1003.700012,920,933.150024,905.257813,9903875
2014-04-01,939.799988,1014,933.200012,989.599976,960.020447,9330500
2014-05-01,989.599976,1023,902.599976,935.950012,907.974121,13594441
2014-06-01,937.5,1058.900024,913.049988,1048.050049,1016.723389,10367335
2014-07-01,1051,1210.5,1014,1181.75,1146.42688,12259010
2014-08-01,1173.25,1308,1107.300049,1285.400024,1250.42688,8154079
2014-09-01,1290,1442.150024,1280.199951,1395.650024,1357.677002,10776318
2014-10-01,1389,1408.800049,1307.199951,1369.050049,1331.800781,11198042
2014-11-01,1371,1495,1356.050049,1480.449951,1440.1698,9021383
2014-12-01,1480.449951,1497.5,1342.400024,1427.949951,1389.098267,8931850
2015-01-01,1428.400024,1591.150024,1365.349976,1585.300049,1542.167114,9229174
2015-02-01,1587,1745.150024,1523,1737.5,1690.225952,18679236
2015-03-01,1749,2036.949951,1743,2008.400024,1953.755493,24921088
2015-04-01,2008,2115,1683.050049,1772.550049,1724.32251,30485391
2015-05-01,1772.550049,1854.900024,1588.25,1833.25,1783.37085,62348815
2015-06-01,1778,1898,1675,1886.050049,1834.734375,21236574
2015-07-01,1893,1983.5,1590.050049,1696.699951,1650.536011,32173381
2015-08-01,1700,1945,1634.099976,1935.550049,1890.391846,27998719
2015-09-01,1910,2067.75,1755.75,2034,1986.5448,21930566
2015-10-01,2059.949951,2129,1885,1928.900024,1883.896973,24030210
2015-11-01,1928.900024,1935.199951,1759.599976,1795,1753.120972,15529157
2015-12-01,1800,1879,1688.5,1837.25,1794.385254,16313532
2016-01-01,1836.099976,1859,1636,1710.75,1670.836548,15963810
2016-02-01,1750,1911.900024,1603,1754.550049,1713.614746,26762952
2016-03-01,1760,1874.599976,1280,1479.25,1444.737671,68200058
2016-04-01,1475.900024,1617.849976,1435,1607.25,1569.751343,28973279
2016-05-01,1616,1689,1443.300049,1474.75,1440.342651,30690846
2016-06-01,1479.650024,1558.699951,1395,1539.699951,1503.777344,26404610
2016-07-01,1545,1750,1542.050049,1739.849976,1699.257568,20917696
2016-08-01,1743,1747.900024,1470.699951,1482.199951,1454.028931,31703396
2016-09-01,1482.199951,1588.400024,1455,1486.25,1458.002075,18915702
2016-10-01,1486.25,1544,1442.099976,1488.349976,1460.062134,12880408
2016-11-01,1532,1565,1382.599976,1504.849976,1476.248535,30832919
2016-12-01,1505,1548,1397.300049,1503.5,1474.924316,14883910
2017-01-01,1488,1529.800049,1450.050049,1470.699951,1442.747559,12076556
2017-02-01,1471,1573.599976,1424.699951,1474.099976,1446.082886,25358352
2017-03-01,1479.400024,1498,1440,1445.199951,1417.732178,16583099
2017-04-01,1450,1457.050049,1318.699951,1338.349976,1312.912964,15606550
2017-05-01,1338.349976,1354,1080.099976,1161,1138.933838,42987991
2017-06-01,1150,1194,1047.599976,1059.849976,1039.706177,35678844
2017-07-01,1064,1177.449951,1030,1032,1012.38562,37121887
2017-08-01,1038,1060,917.549988,979.450012,967.181274,49017621
2017-09-01,985,1044.699951,960.200012,1014,1001.298462,35622934
2017-10-01,1014,1090,990.299988,1028.050049,1015.172546,27515701
2017-11-01,1028.050049,1069.599976,815,817.700012,807.457397,74633171
2017-12-01,822.099976,899.900024,806.25,885.099976,874.013062,36259292
2018-01-01,889.5,970,870.049988,883.75,872.679993,38128889
2018-02-01,883.950012,886.25,781.799988,819.950012,809.679199,34192732
2018-03-01,820,824.25,727.099976,735.849976,726.632629,24047895
2018-04-01,742.799988,842.799988,740,811.549988,801.384399,36100460
2018-05-01,811.549988,819.450012,723.650024,770.349976,760.700439,36004096
2018-06-01,770.75,924.5,745.099976,903.799988,892.478821,77232100
2018-07-01,904.5,946.200012,787.150024,824.400024,814.073486,59057243
2018-08-01,825.049988,939.799988,801,931.450012,925.458435,85543802
2018-09-01,936.5,986.099976,851.599976,900.950012,895.154602,74343310
2018-10-01,905.549988,914.900024,818.049988,885.450012,879.754333,45792783
2018-11-01,875,894,830,886.75,881.045959,34027435
2018-12-01,886.549988,906,802.299988,844.299988,838.869019,40723979
