Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,19399,20155,18645,19433.900391,19260.201172,197028
2014-02-01,19450,20125,18686.400391,19086.800781,18940.189453,164642
2014-03-01,19010,22588.900391,19000.199219,21788.800781,21621.4375,256288
2014-04-01,21810.699219,25925.099609,19816.099609,20528.599609,20370.917969,350465
2014-05-01,20528.599609,23390,20502.5,22733.300781,22558.681641,140135
2014-06-01,22506,24635,22448.900391,23611.599609,23430.236328,110210
2014-07-01,23699.800781,24768.699219,21001,23337.199219,23157.941406,183844
2014-08-01,23265,24444,22999.900391,24030.900391,23846.314453,77629
2014-09-01,24114.400391,32880,24080,32681.900391,32434.958984,514378
2014-10-01,32650.199219,32900.101563,30113,31315.699219,31079.082031,172128
2014-11-01,31450,33980,31320.099609,33543.699219,33290.242188,223475
2014-12-01,33601.101563,39499,33450,37918.601563,37635.585938,483986
2015-01-01,37950,40307,37011,40036.898438,39738.082031,283871
2015-02-01,40000,41782,35520,41200.800781,40893.285156,267286
2015-03-01,41305,42474.898438,36908.300781,38750.601563,38503.082031,179624
2015-04-01,38850,41990,36402.101563,36664.101563,36429.914063,230828
2015-05-01,36664.101563,38098.898438,34702,35874.300781,35645.148438,170144
2015-06-01,36200,36380,31360,34230.898438,34012.246094,179234
2015-07-01,34199,41179.898438,33787.398438,40839.199219,40578.34375,282522
2015-08-01,41399.898438,46399,36679.101563,40392.199219,40134.203125,403632
2015-09-01,40199,42185,37689.300781,41935.898438,41670.789063,222096
2015-10-01,42000,43562,39510,39751.398438,39500.097656,194442
2015-11-01,39888,40200,37734.699219,38850,38604.398438,136111
2015-12-01,39090,40058.800781,38178.101563,39877.5,39628.457031,78133
2016-01-01,40092.398438,41424.601563,34500.101563,35626.199219,35403.699219,116395
2016-02-01,35700,36100,31183.199219,32547.099609,32343.833984,115903
2016-03-01,33200,39000,32214,38296.800781,38057.625,125827
2016-04-01,38249.898438,38249.898438,33555.398438,33787.800781,33576.789063,117043
2016-05-01,33755,34944.398438,31002,33774.398438,33563.464844,162770
2016-06-01,33700,33879,30101,33077.601563,32871.019531,120754
2016-07-01,33077.601563,35840.101563,33050,33844.101563,33632.730469,122734
2016-08-01,33960,38087.898438,33650,37431.800781,37198.03125,217073
2016-09-01,37750,51515.398438,37099.5,50872.601563,50695.367188,504722
2016-10-01,51810,54650,46199.898438,47955.601563,47788.527344,416088
2016-11-01,48288,53940,46451,49900.101563,49726.253906,363747
2016-12-01,50799.898438,53448,47512.300781,48905.601563,48738.097656,236549
2017-01-01,49000,55945,48799.800781,51659.5,51482.558594,276098
2017-02-01,51401,52840,49577,51835.101563,51657.5625,244975
2017-03-01,51999,61220,51086.699219,60954.398438,60749.207031,477389
2017-04-01,60935,70500,60062.398438,67909.203125,67680.609375,347490
2017-05-01,67909.203125,69750,62000,65559.101563,65338.402344,348749
2017-06-01,65619.5,74147.5,65619.5,68325.898438,68095.890625,349746
2017-07-01,68458.5,71500,68201,69198.796875,68965.84375,198696
2017-08-01,69567,70999.796875,62382.101563,64089.601563,63923.179688,297021
2017-09-01,64090,65650,61000,63005.300781,62841.691406,242481
2017-10-01,63005.300781,67343.898438,62409.800781,66422.5,66250.023438,158514
2017-11-01,66789.898438,70500,63614.101563,68583.5,68405.414063,217033
2017-12-01,68601,74500,65323.898438,72357,72172.257813,199048
2018-01-01,72572,73570,66750,68113.398438,67939.476563,153736
2018-02-01,68115,73840,64000,73391.601563,73204.21875,191722
2018-03-01,73391.601563,74100,68170,72513.203125,72331.15625,110236
2018-04-01,72700,81426,72542.398438,79933.5,79732.820313,176863
2018-05-01,79933.5,81400,72701,75734,75543.859375,167501
2018-06-01,75811,76860,72605,74974.5,74786.273438,99297
2018-07-01,75270,81191,73666,79490.398438,79290.828125,122282
2018-08-01,79987,80396.796875,73000,74026.796875,73840.9375,168784
2018-09-01,73777,74170,62300,63598.601563,63525.164063,137398
2018-10-01,64100,64959.898438,59601,64498.601563,64424.121094,167065
2018-11-01,64498.601563,69340,64498.101563,67332,67254.25,119673
2018-12-01,67500,69900,63666,66984.703125,66910.398438,120194
