Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,125.510002,130.910004,101.830002,109.510002,88.483734,177719475
2014-02-01,109.510002,113.879997,104.800003,110.440002,89.235168,101404395
2014-03-01,109.300003,155.720001,107.599998,148.779999,145.110535,166956105
2014-04-01,149.800003,163.330002,144.039993,156.679993,152.815689,145230760
2014-05-01,156.679993,213.589996,154.259995,188.759995,184.104477,201240120
2014-06-01,189.600006,207.839996,184.460007,198.440002,193.545746,106327745
2014-07-01,199.130005,202.740005,172.600006,191.350006,186.630615,114396740
2014-08-01,188.800003,199.199997,177.240005,189.630005,184.953033,85662670
2014-09-01,190.389999,201.970001,167.449997,177.460007,173.083191,106057365
2014-10-01,177.460007,945.900024,173.279999,930.849976,907.891785,97760258
2014-11-01,185.199997,216.619995,184,214.460007,209.170639,97889720
2014-12-01,216,230.949997,208.399994,219.100006,213.696198,125486892
2015-01-01,218.25,222,188,189.649994,184.972519,98632816
2015-02-01,190,194.600006,158.449997,160.149994,156.200104,172513675
2015-03-01,167.699997,180,142.600006,144.399994,140.838562,99962099
2015-04-01,144,170.75,143,159.75,155.809982,95178969
2015-05-01,159.75,168.300003,141.699997,153.649994,149.860413,128864942
2015-06-01,153.800003,155.899994,129.5,138.800003,135.376678,83621285
2015-07-01,138.850006,155,132.149994,151,151,118595004
2015-08-01,151,180.550003,137.699997,142.399994,142.399994,148354165
2015-09-01,143,143.699997,123.599998,133.25,133.25,101882421
2015-10-01,134.850006,141.850006,127.599998,128.350006,128.350006,72525165
2015-11-01,128.550003,146.25,127.099998,144.399994,144.399994,94349762
2015-12-01,145.5,145.800003,115.150002,115.699997,115.699997,98719069
2016-01-01,116,117.900002,86.5,91.849998,91.849998,218041774
2016-02-01,91.800003,97.800003,69.25,71,71,249429264
2016-03-01,72,87.5,72,84.699997,84.699997,165969229
2016-04-01,84.5,92.150002,79.900002,86.949997,86.949997,140945159
2016-05-01,86.800003,86.800003,71.050003,79,79,218565891
2016-06-01,79,106.5,75.449997,105.900002,105.900002,313339430
2016-07-01,106.099998,137.850006,104.849998,123.349998,123.349998,483252932
2016-08-01,125.5,129.899994,114.599998,127.550003,127.550003,312090178
2016-09-01,127.25,150.550003,124.300003,140.699997,140.699997,285572580
2016-10-01,143.199997,148.699997,135.600006,143.949997,143.949997,201009353
2016-11-01,144.699997,164.350006,127.050003,138.149994,138.149994,307416742
2016-12-01,138.949997,139.5,112,115.449997,115.449997,173689412
2017-01-01,117,140.850006,113.199997,135.550003,135.550003,197646531
2017-02-01,136.699997,155.699997,134.649994,141.399994,141.399994,246350064
2017-03-01,142,154,135.350006,149.899994,149.899994,180803367
2017-04-01,151.899994,170.699997,148.550003,168.850006,168.850006,188323629
2017-05-01,168.850006,185.800003,142.399994,150.5,150.5,342532201
2017-06-01,151,154.75,132.649994,137.300003,137.300003,152405525
2017-07-01,137.5,164.300003,135.25,162.300003,162.300003,171718928
2017-08-01,163.800003,164.199997,135.649994,143.800003,143.800003,215529414
2017-09-01,144.100006,147.300003,128.399994,129.050003,129.050003,122131547
2017-10-01,129.050003,231.449997,128.199997,197.149994,197.149994,485477565
2017-11-01,202,212,175.350006,176.100006,176.100006,487426326
2017-12-01,177.100006,181,161.850006,171.399994,171.399994,332745599
2018-01-01,172.949997,197,162.649994,171.350006,171.350006,410213328
2018-02-01,172.800003,174.600006,92,101.400002,101.400002,1438966732
2018-03-01,100.699997,103.75,91.25,95.300003,95.300003,865631615
2018-04-01,96.300003,106.75,90.5,95.400002,95.400002,465155816
2018-05-01,95.400002,96,74.150002,83.650002,83.650002,554448272
2018-06-01,84,94.699997,71.650002,76.150002,76.150002,477569364
2018-07-01,76.800003,87.199997,73.150002,85.099998,85.099998,626615685
2018-08-01,85.099998,91.550003,78.650002,88.150002,88.150002,897457366
2018-09-01,88.300003,89.300003,58.450001,59.700001,59.700001,619863035
2018-10-01,60,75.25,58.549999,73.650002,73.650002,569434864
2018-11-01,74.400002,78.699997,67.400002,69.900002,69.900002,431385505
2018-12-01,70,79.449997,63.349998,78.099998,78.099998,452596884
