Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,116.650002,123.300003,96.849998,106.099998,100.295403,62046804
2014-02-01,106.400002,133.949997,104.050003,133.399994,126.101868,63266309
2014-03-01,133.5,164.199997,132.850006,160.899994,152.097382,68940358
2014-04-01,161.25,176.449997,148.300003,156.350006,147.79631,59368199
2014-05-01,156.350006,209.399994,151.550003,186.699997,176.485901,64893749
2014-06-01,187.949997,233.449997,184.899994,218.050003,206.120789,67831336
2014-07-01,219,224.699997,180,192.25,181.732269,60442590
2014-08-01,188.600006,245.600006,187.949997,244.649994,231.265518,74017554
2014-09-01,247.699997,271.200012,218,241.600006,230.14003,74688842
2014-10-01,239.199997,254,218.850006,251.399994,239.475174,37917352
2014-11-01,250.699997,286.450012,244.149994,270.549988,257.716797,52516157
2014-12-01,271.200012,285.350006,231.550003,242.5,230.99733,51446837
2015-01-01,242.5,278.450012,227,268.600006,255.859344,51698854
2015-02-01,265.549988,283,245.100006,256.200012,244.047485,36792047
2015-03-01,256,301.399994,253.350006,279.850006,266.575714,55287737
2015-04-01,279.899994,310.299988,258.25,281.100006,267.766388,39585796
2015-05-01,281.100006,347.799988,261.299988,332.950012,317.156952,56794834
2015-06-01,332,359.899994,313.5,315.299988,300.344116,55370896
2015-07-01,316.700012,329,301,317.600006,302.535065,39430697
2015-08-01,318,330.399994,245.699997,272.950012,261.845825,57593197
2015-09-01,271,275,243,268.299988,257.384949,37250707
2015-10-01,272,299,266.5,283.450012,271.91864,30438183
2015-11-01,281,290.75,252,289.100006,277.338776,27227870
2015-12-01,289.600006,327,277.5,324.299988,311.10675,30167425
2016-01-01,324,324.5,258.399994,286.549988,274.892517,24948769
2016-02-01,289,292.5,211,223.399994,214.3116,39077204
2016-03-01,224.5,279.899994,223.5,278.100006,266.786285,33019970
2016-04-01,279,305.700012,266.700012,293.5,281.559784,31269676
2016-05-01,293.5,349,287.5,335.899994,322.234863,56123796
2016-06-01,336.049988,345.899994,297.5,322.25,309.140167,22831046
2016-07-01,322.5,354.899994,311.700012,349.549988,335.329529,24593867
2016-08-01,350,401.799988,341.799988,390.299988,374.421722,48204819
2016-09-01,392.799988,396,358.25,379.100006,366.416138,23404266
2016-10-01,382.200012,406.399994,376.25,386.700012,373.761902,20265291
2016-11-01,386.600006,388,287.149994,315.850006,305.282379,41973591
2016-12-01,319,336.399994,300.450012,328.25,317.267456,24253745
2017-01-01,324.899994,355.950012,321.100006,326.950012,316.010986,26213946
2017-02-01,328.899994,374.899994,320.399994,373.5,361.003479,32053744
2017-03-01,373.399994,424.75,366.25,412.100006,398.312042,41717097
2017-04-01,415.899994,423.450012,401.299988,411.049988,397.29715,24724090
2017-05-01,411.049988,501.75,403.399994,486.350006,470.07782,58853957
2017-06-01,486.5,514,440.399994,457.25,441.951385,33222898
2017-07-01,459.5,520.75,453.75,504.25,487.378906,22047253
2017-08-01,507,556.5,505,524.75,507.192963,33695509
2017-09-01,525.400024,565,494.549988,506.049988,492.319733,23935236
2017-10-01,506.049988,572.200012,506.049988,567.599976,552.199707,20402325
2017-11-01,570,653.799988,541.549988,583.849976,568.00885,44444863
2017-12-01,633,675.299988,586.549988,655.900024,638.103943,24762711
2018-01-01,656,660.799988,595.150024,605,588.584961,25109571
2018-02-01,605,622.75,552,609.400024,592.865601,33104695
2018-03-01,615,649.5,591.049988,620.900024,604.053589,30371947
2018-04-01,625,664.700012,613.25,642.5,625.067566,29123856
2018-05-01,642.5,643.849976,524.400024,539.950012,525.299988,46866004
2018-06-01,539.5,546.650024,493.049988,523.799988,509.588135,35366959
2018-07-01,521.25,588.950012,511,567.950012,552.540283,26034437
2018-08-01,569,636.900024,561.049988,614.799988,598.11908,35335784
2018-09-01,618.400024,622.200012,525.150024,532.200012,525.054504,26000590
2018-10-01,530.200012,545.200012,472.25,540.25,532.996399,23410803
2018-11-01,544.900024,569.950012,505.75,553.950012,546.512451,29355574
2018-12-01,555,590.5,525.900024,553.5,546.068481,28444115
