Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,177.399994,177.399994,176.100006,176.529999,146.471558,986010
2014-01-02,176.690002,180.580002,173.300003,174.250000,144.579788,4040410
2014-01-03,173.000000,173.595001,171.039993,171.610001,142.389328,2372360
2014-01-06,172.000000,172.149994,168.100006,168.764999,140.028748,2208110
2014-01-07,169.500000,170.199997,165.315002,165.975006,137.713806,3050890
2014-01-08,166.500000,167.595001,165.000000,165.539993,137.352875,2646700
2014-01-09,165.490005,166.270004,163.050003,163.910004,136.000427,2595750
2014-01-10,163.990005,165.664993,160.000000,160.884995,133.490509,3408510
2014-01-13,161.399994,164.710007,161.175003,164.195007,136.236908,2376660
2014-01-14,163.399994,164.850006,162.205002,162.690002,134.988144,1715300
2014-01-15,163.500000,165.800003,163.324997,164.354996,136.369659,2453290
2014-01-16,164.500000,165.054993,163.399994,163.699997,135.826172,1247070
2014-01-17,163.264999,164.490005,161.824997,162.205002,134.585739,1734980
2014-01-20,162.294998,164.589996,161.699997,164.100006,136.158081,1517880
2014-01-21,165.259995,167.139999,164.639999,165.860001,137.618378,1726540
2014-01-22,165.699997,165.699997,163.539993,164.574997,136.552185,1445390
2014-01-23,164.000000,166.199997,163.550003,165.705002,137.489792,1571420
2014-01-24,164.945007,166.410004,161.824997,162.195007,134.577438,2223420
2014-01-27,160.000000,160.414993,158.425003,159.455002,132.303986,2446380
2014-01-28,160.000000,162.800003,158.000000,159.595001,132.420151,3044130
2014-01-29,161.134995,162.190002,157.014999,157.365005,130.569870,2812810
2014-01-30,155.960007,155.960007,151.410004,151.755005,125.915100,3075930
2014-01-31,153.380005,154.000000,151.500000,152.559998,126.583031,2244670
2014-02-03,153.000000,153.000000,148.654999,148.985001,123.616760,2574290
2014-02-04,147.500000,152.175003,146.899994,151.600006,125.786491,2819690
2014-02-05,151.970001,152.975006,150.199997,152.110001,126.209656,1759190
2014-02-06,152.190002,153.699997,149.699997,150.425003,124.811554,2539140
2014-02-07,152.100006,153.289993,150.610001,152.675003,126.678444,2026630
2014-02-10,153.470001,153.470001,150.759995,151.429993,125.645432,1454800
2014-02-11,151.399994,152.820007,151.399994,151.850006,125.993919,4309150
2014-02-12,152.899994,153.994995,151.764999,153.270004,127.172150,10600340
2014-02-13,153.600006,153.645004,149.500000,149.964996,124.429893,2265320
2014-02-14,150.399994,151.369995,145.595001,147.509995,122.392914,9439410
2014-02-17,147.600006,148.490005,146.309998,147.339996,122.251854,2490540
2014-02-18,147.199997,151.000000,147.199997,149.904999,124.380119,7953490
2014-02-19,150.000000,151.565002,149.800003,150.865005,125.176651,3623730
2014-02-20,150.000000,150.100006,147.630005,148.149994,122.923943,1707260
2014-02-21,148.500000,150.500000,148.500000,150.309998,124.716148,2514220
2014-02-24,150.600006,151.800003,149.065002,151.074997,125.350876,3800270
2014-02-25,151.869995,152.059998,150.000000,150.675003,125.019005,2327460
2014-02-26,150.919998,153.399994,150.669998,152.164993,126.255295,5869320
2014-02-28,152.625000,153.809998,152.000000,153.169998,127.089180,1929400
2014-03-03,153.000000,155.720001,151.514999,151.850006,125.993919,3982010
2014-03-04,151.710007,155.380005,151.550003,154.970001,128.582672,2099930
2014-03-05,156.000000,158.100006,154.000000,157.350006,130.557419,3561630
2014-03-06,158.350006,158.350006,156.139999,157.619995,130.781448,2395010
2014-03-07,158.500000,166.389999,158.100006,164.875000,136.801102,5076320
2014-03-10,165.000000,171.000000,164.024994,169.134995,140.335739,4600740
2014-03-11,169.000000,172.199997,166.660004,167.514999,152.517868,3015600
2014-03-12,166.300003,167.350006,164.000000,164.475006,149.750061,2105470
2014-03-13,165.050003,169.729996,164.479996,165.179993,150.391907,3492450
2014-03-14,164.100006,166.994995,163.009995,165.350006,150.546722,2330080
2014-03-18,165.214996,170.940002,165.214996,169.839996,154.634705,3043090
2014-03-19,171.100006,171.794998,169.600006,170.735001,155.449600,2084900
2014-03-20,170.324997,170.500000,167.350006,167.794998,152.772797,1417080
2014-03-21,169.205002,171.000000,168.925003,170.259995,155.017120,1892760
2014-03-22,null,null,null,null,null,null
2014-03-24,171.449997,173.899994,171.399994,172.544998,157.097549,2433450
2014-03-25,173.000000,174.690002,172.800003,174.104996,158.517868,2045830
2014-03-26,175.229996,177.395004,174.270004,176.820007,160.989838,2797650
2014-03-27,177.600006,185.000000,177.600006,183.955002,167.486053,5349870
2014-03-28,185.259995,192.500000,185.259995,190.225006,173.194733,3574340
2014-03-31,191.300003,193.899994,188.699997,191.830002,174.656021,3232550
2014-04-01,193.229996,193.229996,186.740005,189.455002,172.493652,3942010
2014-04-02,191.500000,194.000000,188.729996,193.350006,176.039948,2637530
2014-04-03,192.899994,193.300003,188.500000,189.535004,172.566483,2374020
2014-04-04,190.000000,191.304993,187.199997,190.425003,173.376801,1996370
2014-04-07,188.009995,192.970001,188.009995,192.225006,175.015671,1130460
2014-04-09,192.024994,199.000000,192.024994,198.425003,180.660599,2477620
2014-04-10,199.160004,203.800003,199.000000,202.684998,184.539215,3213930
2014-04-11,202.000000,202.884995,198.514999,199.429993,181.575607,2192820
2014-04-15,199.699997,200.395004,194.899994,196.350006,178.771362,2085500
2014-04-16,196.524994,199.399994,195.184998,195.975006,178.429932,2227770
2014-04-17,196.634995,202.240005,196.339996,201.779999,183.715225,3167930
2014-04-21,202.009995,207.899994,202.000000,207.070007,188.531631,2842150
2014-04-22,207.199997,207.539993,204.164993,204.934998,186.587769,1961420
2014-04-23,204.500000,207.600006,204.125000,206.455002,187.971710,2577380
2014-04-24,206.455002,206.455002,206.455002,206.455002,187.971710,0
2014-04-25,206.000000,210.914993,204.399994,208.315002,189.665176,3014820
2014-04-28,208.199997,211.399994,207.195007,210.529999,191.681854,2540040
2014-04-29,211.100006,212.449997,206.059998,206.529999,188.039978,2989520
2014-04-30,207.690002,210.710007,205.600006,207.895004,189.282776,2861280
2014-05-02,209.000000,210.505005,203.899994,204.580002,186.264542,2409190
2014-05-05,205.505005,206.759995,203.544998,204.485001,186.178040,2330840
2014-05-06,205.324997,206.300003,204.029999,205.175003,186.806274,1716560
2014-05-07,205.175003,208.300003,204.389999,207.339996,188.777466,2382210
2014-05-08,207.809998,210.399994,207.070007,209.149994,190.425400,2926000
2014-05-09,208.544998,218.800003,208.360001,217.270004,197.818451,3704020
2014-05-12,218.149994,226.350006,218.149994,224.375000,204.287369,3610550
2014-05-13,227.399994,232.399994,226.139999,227.625000,207.246384,5674540
2014-05-14,228.490005,231.500000,226.884995,228.274994,207.838211,3173780
2014-05-15,228.664993,230.199997,227.279999,227.910004,207.505890,2431450
2014-05-16,233.699997,250.509995,230.500000,241.429993,219.815475,11684830
2014-05-19,244.399994,259.165009,244.199997,257.000000,233.991547,5482790
2014-05-20,260.399994,261.309998,251.059998,252.604996,229.990021,2502200
2014-05-21,252.600006,253.000000,245.160004,246.009995,223.985458,6808050
2014-05-22,247.100006,253.529999,247.100006,251.179993,228.692596,2780660
2014-05-23,252.000000,277.500000,249.735001,275.524994,250.858047,13832640
2014-05-26,281.524994,283.385010,262.714996,269.980011,245.809494,6338600
2014-05-27,270.299988,270.299988,261.899994,263.220001,239.654694,3162020
2014-05-28,263.500000,264.625000,259.200012,261.010010,237.642548,2633860
2014-05-29,260.510010,264.140015,258.000000,260.005005,251.161530,2940000
2014-05-30,260.480011,261.899994,253.009995,254.190002,245.544312,2801690
2014-06-02,254.729996,265.000000,252.800003,264.420013,255.426361,4025280
2014-06-03,266.000000,268.875000,262.100006,264.329987,255.339417,4447870
2014-06-04,262.500000,269.000000,262.000000,268.230011,259.106781,2549780
2014-06-05,268.200012,272.100006,267.105011,269.674988,260.502655,2221230
2014-06-06,272.075012,275.299988,271.299988,273.214996,263.922241,2472830
2014-06-09,275.000000,276.000000,269.570007,270.334991,261.140198,2078840
2014-06-10,271.005005,271.924988,264.869995,266.475006,257.411499,1946850
2014-06-11,268.299988,273.105011,266.225006,269.065002,259.913391,2524760
2014-06-12,269.880005,271.000000,267.010010,269.380005,260.217682,2555780
2014-06-13,270.390015,270.500000,258.500000,260.635010,251.770096,2405340
2014-06-16,260.899994,261.100006,255.000000,257.924988,249.152267,2027940
2014-06-17,256.489990,267.000000,255.460007,265.440002,256.411682,2964850
2014-06-18,263.869995,268.100006,260.505005,263.815002,254.841949,2892440
2014-06-19,265.989990,266.765015,259.600006,260.609985,251.745941,2495440
2014-06-20,260.700012,262.200012,256.720001,258.059998,249.282684,2091220
2014-06-23,259.000000,262.394989,256.809998,260.135010,251.287109,2568990
