Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,171.000000,172.500000,170.550003,171.949997,163.116653,38738
2014-01-02,173.000000,174.000000,165.899994,167.000000,158.420914,137001
2014-01-03,168.800003,168.800003,163.899994,167.149994,158.563202,165283
2014-01-06,168.000000,170.949997,166.199997,169.649994,160.934799,52344
2014-01-07,171.000000,173.750000,169.949997,172.550003,163.685822,128319
2014-01-08,173.100006,175.000000,171.750000,174.050003,165.108765,244968
2014-01-09,174.949997,174.949997,171.199997,173.050003,164.160110,71379
2014-01-10,173.000000,174.850006,172.000000,174.000000,165.061325,87461
2014-01-13,175.250000,175.250000,169.600006,170.300003,161.551407,99684
2014-01-14,170.000000,172.399994,170.000000,171.850006,163.021759,25252
2014-01-15,171.000000,172.000000,169.000000,170.600006,161.835999,70509
2014-01-16,170.000000,170.300003,166.850006,168.050003,159.416977,150962
2014-01-17,168.949997,170.500000,167.250000,167.699997,159.084961,271747
2014-01-20,168.000000,170.000000,166.500000,169.699997,160.982254,64194
2014-01-21,171.000000,171.000000,166.699997,167.600006,158.990128,110536
2014-01-22,167.000000,168.000000,160.050003,160.850006,152.586868,587167
2014-01-23,161.699997,162.500000,159.600006,161.750000,153.440628,203808
2014-01-24,163.500000,164.699997,161.600006,163.649994,155.243042,177766
2014-01-27,164.000000,164.000000,162.000000,162.899994,154.531555,60682
2014-01-28,163.600006,169.649994,163.600006,168.300003,159.654144,679876
2014-01-29,169.500000,171.399994,167.149994,171.000000,162.215439,554440
2014-01-30,171.449997,172.000000,167.000000,170.000000,161.266800,81889
2014-01-31,169.500000,172.250000,168.100006,172.000000,163.164063,58112
2014-02-03,172.000000,172.800003,167.899994,168.350006,159.701584,46787
2014-02-04,171.800003,171.800003,166.300003,170.350006,161.598846,80396
2014-02-05,154.000000,173.399994,154.000000,173.000000,164.112701,96123
2014-02-06,173.000000,174.000000,170.000000,172.750000,163.875565,52501
2014-02-07,173.100006,175.199997,171.550003,174.649994,165.677917,77354
2014-02-10,174.750000,175.100006,172.100006,174.600006,165.630508,506900
2014-02-11,176.100006,177.000000,174.149994,176.250000,167.195724,122470
2014-02-12,177.800003,178.199997,175.300003,177.449997,168.334091,119862
2014-02-13,177.600006,177.600006,171.199997,172.000000,163.164063,48731
2014-02-14,172.100006,173.800003,170.850006,173.199997,164.302414,46286
2014-02-17,173.199997,175.250000,171.699997,172.550003,163.685822,42537
2014-02-18,172.500000,173.750000,170.500000,171.050003,162.262863,28911
2014-02-19,171.399994,172.000000,169.399994,170.600006,161.835999,31198
2014-02-20,170.000000,172.000000,169.050003,170.250000,161.503967,39636
2014-02-21,171.000000,173.899994,170.550003,173.050003,164.160110,49077
2014-02-24,173.000000,173.500000,171.600006,172.649994,163.780655,23831
2014-02-25,172.000000,173.350006,171.199997,172.100006,163.258942,32447
2014-02-26,172.500000,173.250000,171.649994,172.199997,163.353790,31674
2014-02-28,172.500000,175.199997,172.250000,172.949997,164.065262,32582
2014-03-03,174.000000,174.000000,170.699997,172.649994,163.780655,62519
2014-03-04,172.699997,174.800003,170.600006,174.199997,165.251022,32510
2014-03-05,174.649994,175.649994,171.199997,171.699997,162.879501,53065
2014-03-06,172.000000,173.899994,171.199997,173.449997,164.539566,166129
2014-03-07,172.500000,173.899994,171.600006,172.100006,163.258942,77618
2014-03-10,171.149994,173.250000,171.149994,172.850006,163.970428,59386
2014-03-11,173.000000,174.899994,172.000000,174.649994,165.677917,103842
2014-03-12,175.000000,177.199997,172.000000,172.649994,163.780655,332283
2014-03-13,174.000000,175.250000,171.149994,171.649994,162.832031,36087
2014-03-14,173.949997,174.800003,171.149994,173.699997,164.776718,42365
2014-03-18,174.899994,177.300003,173.300003,177.000000,167.907196,90272
2014-03-19,177.899994,179.750000,175.750000,177.949997,168.808411,85973
2014-03-20,177.949997,179.600006,176.850006,179.100006,169.899338,254313
2014-03-21,179.000000,182.000000,179.000000,179.600006,170.373611,149316
2014-03-22,null,null,null,null,null,null
2014-03-24,180.000000,180.899994,178.500000,179.050003,169.851883,77229
2014-03-25,179.949997,180.300003,174.500000,176.050003,167.006058,342863
2014-03-26,177.000000,178.250000,175.899994,177.350006,168.239212,57593
2014-03-27,178.000000,179.350006,177.000000,177.750000,168.618698,50136
2014-03-28,178.000000,180.550003,177.850006,178.800003,169.614731,540409
