Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,167.399994,170.750000,166.899994,170.350006,157.404083,770019
2014-01-02,171.100006,174.350006,165.149994,166.600006,153.939072,1185878
2014-01-03,165.250000,169.500000,163.500000,168.649994,155.833282,842729
2014-01-06,169.899994,169.899994,165.300003,166.800003,154.123871,687460
2014-01-07,167.000000,168.899994,162.199997,163.750000,151.305664,827244
2014-01-08,164.000000,166.300003,161.500000,162.300003,149.965851,603688
2014-01-09,161.350006,163.199997,157.800003,159.000000,146.916641,737527
2014-01-10,159.800003,161.800003,155.850006,156.500000,144.606613,629651
2014-01-13,157.500000,161.600006,156.250000,160.850006,148.626038,895674
2014-01-14,159.850006,161.100006,156.300003,157.100006,145.161026,669003
2014-01-15,157.899994,160.300003,157.250000,159.800003,147.655838,492015
2014-01-16,160.250000,162.699997,158.300003,161.800003,149.503860,714348
2014-01-17,162.000000,164.199997,154.649994,155.399994,143.590210,1122848
2014-01-20,155.399994,156.800003,153.000000,155.750000,143.913605,711448
2014-01-21,156.250000,157.800003,155.300003,157.250000,145.299637,426700
2014-01-22,158.000000,159.250000,155.850006,158.550003,146.500839,506699
2014-01-23,158.000000,159.600006,157.000000,158.949997,146.870392,397708
2014-01-24,158.250000,158.250000,152.149994,152.800003,141.187790,591076
2014-01-27,150.000000,150.449997,139.000000,140.050003,129.406754,878045
2014-01-28,140.000000,144.550003,139.000000,141.350006,130.607971,1065705
2014-01-29,143.199997,144.399994,140.100006,141.100006,130.376953,548805
2014-01-30,138.699997,139.500000,134.050003,134.750000,124.509529,731518
2014-01-31,136.050003,137.899994,135.550003,137.300003,126.865738,546169
2014-02-03,137.000000,137.899994,133.250000,134.149994,123.955132,632978
2014-02-04,132.399994,135.399994,130.399994,134.350006,124.139938,742545
2014-02-05,133.899994,139.750000,133.100006,137.949997,127.466347,856604
2014-02-06,138.000000,139.399994,134.050003,135.399994,125.110123,652016
2014-02-07,136.300003,139.149994,136.300003,137.949997,127.466347,588602
2014-02-10,143.699997,145.949997,141.550003,142.000000,131.208557,882240
2014-02-11,142.000000,142.399994,139.350006,140.550003,129.868744,446138
2014-02-12,140.600006,143.199997,138.600006,139.949997,129.314362,432639
2014-02-13,140.000000,144.300003,140.000000,142.699997,131.855347,825523
2014-02-14,142.699997,145.149994,141.350006,144.449997,133.472397,749254
2014-02-17,145.000000,147.750000,142.149994,143.000000,132.132568,589066
2014-02-18,142.149994,143.800003,140.350006,142.600006,131.762970,515094
2014-02-19,143.500000,143.899994,141.300003,143.199997,132.317368,438113
2014-02-20,142.850006,146.899994,141.750000,143.649994,132.733154,706372
2014-02-21,144.000000,144.550003,140.800003,142.500000,131.670563,555279
2014-02-24,142.250000,143.899994,141.050003,142.899994,132.040161,365591
2014-02-25,143.000000,144.500000,140.750000,141.649994,130.885162,337129
2014-02-26,142.199997,142.199997,138.300003,140.050003,129.406754,467245
2014-02-28,141.350006,141.899994,138.600006,140.800003,130.099762,517441
2014-03-03,140.050003,141.800003,138.149994,139.000000,128.436554,453369
2014-03-04,138.449997,141.000000,136.449997,140.000000,129.360550,569294
2014-03-05,141.800003,145.699997,140.250000,144.750000,133.749573,770766
2014-03-06,145.500000,153.149994,145.500000,152.000000,140.448608,1048341
2014-03-07,153.600006,167.899994,153.250000,167.000000,154.308655,2047363
2014-03-10,165.000000,173.850006,164.000000,171.649994,158.605270,1200619
2014-03-11,171.949997,186.600006,167.649994,178.399994,164.842300,3245387
2014-03-12,179.949997,182.800003,176.600006,179.149994,165.535294,1835421
2014-03-13,179.399994,181.550003,164.500000,168.500000,155.694687,1562611
2014-03-14,165.199997,175.800003,162.550003,175.000000,161.700684,2049134
2014-03-18,176.000000,179.000000,170.250000,173.649994,160.453293,1294407
2014-03-19,174.000000,177.899994,171.449997,173.899994,160.684280,945925
2014-03-20,173.800003,173.899994,166.350006,167.250000,154.539642,959441
2014-03-21,168.100006,172.449997,168.100006,171.250000,158.235687,833629
2014-03-22,null,null,null,null,null,null
2014-03-24,172.000000,174.850006,170.050003,171.699997,158.651474,769033
2014-03-25,171.300003,178.399994,171.050003,177.550003,164.056915,1074008
2014-03-26,178.899994,181.350006,173.600006,175.149994,161.839249,929845
2014-03-27,176.000000,179.399994,172.300003,174.500000,161.238708,864275
2014-03-28,175.050003,177.550003,174.449997,176.100006,162.717087,787067
2014-03-31,177.600006,179.300003,174.500000,176.649994,163.225281,916221
2014-04-01,176.500000,177.899994,171.300003,175.050003,161.746902,871899
2014-04-02,176.850006,179.000000,173.500000,176.500000,163.086700,1257267
2014-04-03,177.000000,177.250000,169.600006,171.800003,158.743896,1293774
2014-04-04,170.500000,177.500000,169.899994,176.250000,162.855698,1792139
2014-04-07,176.500000,180.000000,168.399994,171.050003,158.050888,5254164
2014-04-09,172.199997,177.050003,172.199997,176.649994,163.225281,625986
2014-04-10,177.649994,185.000000,175.899994,178.500000,164.934692,6976994
2014-04-11,175.850006,180.600006,173.750000,176.350006,162.948105,1558890
2014-04-15,177.850006,177.850006,164.800003,165.949997,153.338455,1696157
2014-04-16,167.000000,167.750000,156.149994,158.050003,146.038849,1889529
2014-04-17,159.100006,161.000000,156.250000,159.600006,147.471024,2217563
2014-04-21,161.000000,161.000000,156.649994,157.899994,145.900223,1229345
2014-04-22,158.199997,160.800003,156.300003,157.050003,145.114822,1332327
2014-04-23,155.899994,156.449997,151.600006,152.449997,140.864410,1886056
2014-04-24,152.449997,152.449997,152.449997,152.449997,140.864410,0
2014-04-25,153.649994,157.899994,152.649994,153.750000,142.065613,1666537
2014-04-28,153.699997,154.850006,150.800003,154.050003,142.342834,1208682
2014-04-29,153.199997,156.850006,153.000000,153.550003,141.880798,1201142
2014-04-30,154.000000,154.199997,139.000000,140.250000,129.591568,3801565
2014-05-02,141.850006,142.899994,138.149994,139.800003,129.175735,4641865
2014-05-05,140.100006,141.550003,137.800003,139.000000,128.436554,9980054
2014-05-06,139.399994,142.800003,139.350006,140.399994,129.730148,1089974
2014-05-07,140.649994,141.850006,139.000000,140.199997,129.545349,1180510
2014-05-08,140.699997,141.300003,138.100006,139.500000,128.898544,1067048
2014-05-09,140.250000,145.649994,139.899994,144.699997,133.703354,1517271
2014-05-12,145.000000,151.050003,143.350006,146.149994,135.043167,2128727
2014-05-13,148.000000,155.699997,148.000000,152.050003,140.494797,2211612
2014-05-14,153.000000,162.899994,150.050003,160.550003,148.348846,2520684
2014-05-15,161.899994,169.000000,158.149994,160.000000,147.840637,1857679
2014-05-16,166.699997,176.500000,164.449997,169.649994,156.757263,4622721
2014-05-19,172.500000,183.850006,172.199997,182.449997,168.584534,2784933
2014-05-20,183.000000,190.699997,178.000000,184.149994,170.155319,2672782
2014-05-21,184.899994,194.899994,180.199997,192.550003,177.916946,2363422
2014-05-22,194.949997,217.899994,194.600006,210.850006,194.826233,5031355
2014-05-23,212.649994,222.000000,212.649994,216.550003,200.093063,2344547
2014-05-26,218.699997,224.550003,195.300003,204.350006,188.820206,2408590
2014-05-27,205.500000,207.149994,195.149994,204.500000,188.958817,1629917
2014-05-28,206.199997,209.000000,198.449997,205.699997,190.067596,1421603
2014-05-29,206.300003,209.000000,202.000000,203.750000,188.265793,1345068
2014-05-30,201.000000,212.000000,195.550003,209.800003,193.856033,2461978
2014-06-02,210.100006,212.350006,206.800003,209.500000,193.578842,2058999
2014-06-03,210.000000,222.000000,209.149994,219.750000,203.049881,2517993
2014-06-04,222.000000,223.250000,216.899994,219.250000,202.587860,1890886
2014-06-05,220.750000,222.949997,215.750000,219.649994,202.957458,1699250
2014-06-06,222.000000,233.949997,220.949997,233.050003,215.339127,3361227
2014-06-09,235.750000,242.800003,234.500000,241.300003,222.962158,2019380
2014-06-10,241.000000,241.000000,229.100006,233.149994,215.431503,1470282
2014-06-11,233.600006,234.649994,219.750000,220.850006,204.066284,1751913
2014-06-12,221.000000,226.000000,216.750000,223.550003,206.561096,1482989
2014-06-13,224.000000,226.449997,203.250000,205.149994,189.559433,1998770
2014-06-16,204.600006,211.149994,199.000000,210.300003,194.318039,1957189
2014-06-17,211.000000,214.250000,203.750000,212.550003,196.397049,1620450
2014-06-18,213.850006,216.500000,205.399994,207.600006,191.823227,1733181
2014-06-19,208.000000,211.000000,205.850006,206.949997,191.222626,1137895
2014-06-20,206.000000,211.500000,205.300003,208.000000,192.192825,919395
2014-06-23,209.500000,210.800003,206.350006,209.500000,193.578842,790240
2014-06-24,210.000000,221.250000,209.899994,219.250000,202.587860,1473636
2014-06-25,218.399994,220.350006,215.199997,217.149994,200.647446,1098502
2014-06-26,217.149994,218.649994,209.000000,210.350006,194.364243,940259
2014-06-27,211.050003,212.000000,205.149994,211.149994,195.103424,1616074
2014-06-30,212.800003,217.500000,212.000000,214.850006,198.522247,778844
2014-07-01,215.649994,218.750000,213.550003,216.500000,200.046829,835303
2014-07-02,218.100006,222.149994,218.100006,218.750000,202.125870,949873
2014-07-03,220.000000,221.000000,214.800003,215.899994,199.492462,242310
2014-07-04,216.100006,219.300003,214.500000,218.800003,202.172089,917105
2014-07-07,218.100006,224.300003,218.000000,223.199997,206.237686,912375
2014-07-08,223.000000,224.250000,203.399994,205.850006,190.206207,1361373
2014-07-09,206.000000,208.399994,200.100006,203.949997,188.450623,1301744
2014-07-10,206.000000,233.850006,201.000000,222.750000,205.821869,3973301
2014-07-11,224.100006,229.449997,206.000000,209.399994,193.486420,2865538
2014-07-14,209.899994,213.850006,204.649994,207.649994,191.869415,1154272
2014-07-15,209.000000,214.800003,207.500000,213.050003,196.859070,1191963
2014-07-16,217.000000,227.000000,215.100006,225.449997,208.316666,1508226
2014-07-17,226.199997,228.899994,220.500000,222.149994,205.267456,1678892
2014-07-18,219.250000,223.600006,216.850006,220.850006,204.066284,1434349
2014-07-21,221.750000,222.800003,213.550003,214.800003,198.476059,931379
2014-07-22,216.949997,218.600006,213.850006,216.750000,200.277847,723862
2014-07-23,218.000000,219.350006,211.199997,214.800003,198.476059,850501
2014-07-24,215.050003,218.300003,213.649994,214.300003,198.014038,790739
2014-07-25,214.750000,215.750000,202.000000,204.649994,189.097412,1503814
2014-07-28,205.000000,206.350006,193.300003,194.350006,179.580170,1455567
2014-07-30,193.000000,201.399994,191.850006,200.149994,184.939392,1190848
2014-07-31,199.649994,203.449997,197.149994,198.399994,183.322372,1209768
2014-08-01,192.600006,203.800003,190.199997,200.600006,185.355209,2173189
2014-08-04,203.000000,204.500000,197.399994,201.300003,186.001984,1052999
2014-08-05,200.300003,206.399994,198.649994,205.500000,189.882813,1381767
2014-08-06,204.399994,207.899994,201.750000,202.500000,187.110779,1028614
2014-08-07,202.000000,205.350006,199.500000,202.899994,187.480392,1091547
2014-08-08,199.949997,200.000000,193.600006,194.550003,179.764984,895736
2014-08-11,200.000000,202.149994,197.600006,199.250000,184.107803,735450
2014-08-12,200.000000,202.899994,198.199997,202.250000,186.879791,664544
2014-08-13,201.500000,201.600006,192.699997,194.199997,179.441574,781132
2014-08-14,194.000000,196.899994,190.649994,196.399994,181.474396,807354
2014-08-18,195.199997,199.800003,194.199997,198.100006,183.045181,703029
2014-08-19,197.750000,201.350006,196.000000,200.199997,186.872223,939692
2014-08-20,199.500000,203.000000,197.250000,201.199997,187.805664,795270
2014-08-21,200.000000,202.600006,195.800003,196.600006,183.511902,719981
2014-08-22,196.399994,198.000000,193.300003,194.800003,181.831726,761422
2014-08-25,195.000000,196.399994,190.000000,190.899994,178.191360,670978
2014-08-26,188.600006,192.500000,187.600006,191.550003,178.798080,762039
2014-08-27,192.199997,193.850006,181.350006,183.050003,170.863968,1504938
2014-08-28,182.000000,183.050003,176.500000,177.649994,165.823441,1382344
2014-09-01,178.000000,180.699997,175.600006,180.000000,168.016983,1014700
2014-09-02,179.399994,185.000000,179.000000,184.050003,171.797379,1258907
2014-09-03,184.899994,186.699997,180.750000,183.050003,170.863968,1043833
2014-09-04,175.000000,175.899994,161.699997,167.300003,156.162460,2873550
2014-09-05,166.000000,176.300003,164.699997,175.399994,163.723221,2101782
2014-09-08,177.000000,178.399994,170.500000,176.699997,164.936676,1139081
2014-09-09,176.949997,176.949997,173.000000,174.199997,162.603104,572560
2014-09-10,172.800003,177.699997,171.649994,176.699997,164.936676,744942
2014-09-11,177.300003,178.949997,174.199997,175.199997,163.536545,678001
2014-09-12,174.899994,177.300003,174.300003,175.899994,164.189941,483949
2014-09-15,174.649994,175.399994,172.500000,173.600006,162.043060,436342
2014-09-16,174.000000,177.899994,167.199997,168.350006,157.142563,729132
2014-09-17,171.000000,171.300003,166.250000,169.100006,157.842651,716188
2014-09-18,168.899994,176.899994,168.000000,175.300003,163.629883,813666
2014-09-19,176.899994,176.899994,171.149994,171.949997,160.502884,608315
2014-09-22,170.500000,173.300003,166.000000,166.649994,155.555725,986758
2014-09-23,165.399994,166.350006,155.050003,155.800003,145.428040,1512681
2014-09-24,156.000000,162.250000,154.100006,159.699997,149.068420,3643190
2014-09-25,161.000000,161.250000,154.399994,155.800003,145.428040,867062
2014-09-26,156.000000,162.850006,155.699997,162.149994,151.355301,999750
2014-09-29,161.800003,164.149994,157.800003,158.399994,147.854935,709266
2014-09-30,158.000000,159.050003,148.100006,150.850006,140.807571,1312891
2014-10-01,150.000000,152.600006,149.449997,150.399994,140.387512,727612
2014-10-07,149.800003,149.800003,141.250000,142.050003,132.593414,1273196
2014-10-08,142.000000,149.800003,140.149994,148.800003,138.894043,1612011
2014-10-09,150.000000,154.350006,149.300003,152.699997,142.534409,1055056
2014-10-10,150.649994,155.399994,149.149994,152.350006,142.207718,1373157
2014-10-13,151.100006,151.899994,144.199997,146.699997,136.933823,1121143
2014-10-14,132.050003,132.050003,102.699997,104.949997,97.963234,16810693
2014-10-15,104.949997,104.949997,104.949997,104.949997,97.963234,0
2014-10-16,100.099998,115.849998,100.000000,110.349998,103.003754,12802392
2014-10-17,112.000000,114.449997,105.449997,110.699997,103.330444,4864878
2014-10-20,112.000000,116.300003,108.150002,115.349998,107.670898,4320653
2014-10-21,115.699997,122.550003,114.300003,121.449997,113.364799,4143597
2014-10-22,122.000000,123.000000,115.900002,120.250000,112.244682,3634632
2014-10-27,117.500000,117.500000,109.099998,110.500000,103.143776,3399921
2014-10-28,110.000000,113.300003,108.800003,111.300003,103.890511,2580315
2014-10-29,112.250000,119.500000,110.050003,118.150002,110.284500,3860990
2014-10-30,119.800003,127.000000,119.000000,123.900002,115.651711,6000805
2014-10-31,124.050003,126.900002,122.150002,124.500000,116.211761,2567087
2014-11-03,122.449997,129.399994,120.199997,128.500000,119.945465,3129711
2014-11-05,128.500000,131.399994,125.599998,126.650002,118.218613,2659842
2014-11-07,131.850006,135.000000,129.800003,134.550003,125.592712,3255397
2014-11-10,133.699997,137.199997,132.800003,135.600006,126.572815,1426968
2014-11-11,136.000000,138.000000,132.550003,136.649994,127.552895,1764314
2014-11-12,138.000000,140.350006,136.100006,139.699997,130.399857,1246447
2014-11-13,140.000000,141.399994,136.500000,138.899994,129.653107,1962127
2014-11-14,141.000000,143.000000,139.600006,141.800003,132.360046,1371460
2014-11-17,142.000000,142.000000,137.750000,139.750000,130.446533,1723506
2014-11-18,138.399994,140.699997,137.350006,139.250000,129.979813,1096553
2014-11-19,137.899994,144.399994,137.850006,141.000000,131.613312,1714502
2014-11-20,140.100006,141.750000,136.199997,138.600006,129.373108,1514041
2014-11-21,138.000000,141.500000,137.800003,140.300003,130.959915,941247
2014-11-24,138.949997,147.800003,138.949997,147.100006,137.307220,1619833
2014-11-25,148.000000,148.399994,140.000000,141.750000,132.313385,1071435
2014-11-26,140.899994,154.649994,136.550003,151.949997,141.834366,3396598
2014-11-27,151.699997,152.949997,147.000000,148.149994,138.287323,1728307
2014-11-28,147.250000,155.000000,145.000000,149.350006,139.407471,2865116
2014-12-01,148.500000,154.449997,146.800003,153.699997,143.467850,1337485
2014-12-02,153.000000,155.500000,151.149994,153.449997,143.234482,1591185
2014-12-03,154.000000,156.500000,153.000000,155.500000,145.148026,1389409
2014-12-04,155.000000,156.600006,151.850006,154.250000,143.981232,1201613
2014-12-05,154.000000,163.300003,153.399994,161.500000,150.748581,2478069
2014-12-08,161.100006,166.149994,158.800003,160.149994,149.488449,1525728
2014-12-09,160.000000,162.399994,157.250000,159.199997,148.601685,1255140
2014-12-10,159.000000,161.649994,155.649994,160.000000,149.348465,1303538
2014-12-11,159.500000,161.250000,154.949997,156.149994,145.754745,1505617
2014-12-12,156.399994,158.250000,150.750000,152.199997,142.067719,1223700
2014-12-15,152.000000,154.100006,144.300003,144.899994,135.253662,938297
2014-12-16,143.500000,145.699997,137.649994,139.350006,130.073151,1186590
2014-12-17,139.000000,140.250000,132.350006,133.899994,124.985970,8596248
2014-12-18,136.250000,139.250000,133.850006,135.949997,126.899513,1168025
2014-12-19,136.250000,138.699997,129.500000,132.000000,123.212463,1661085
2014-12-22,134.800003,136.399994,131.250000,133.750000,124.845963,1615721
2014-12-23,134.000000,134.800003,130.600006,133.350006,124.472588,1213198
2014-12-24,133.000000,135.050003,131.000000,131.649994,122.885757,963270
2014-12-26,130.300003,136.949997,129.850006,136.000000,126.946190,1648415
2014-12-29,137.550003,140.399994,135.100006,135.850006,126.806168,1266335
2014-12-30,137.750000,138.199997,134.300003,135.600006,126.572815,1077971
2014-12-31,135.100006,138.250000,135.100006,137.149994,128.019608,607436
2015-01-01,137.300003,138.100006,136.050003,137.350006,128.206299,421094
2015-01-02,137.100006,140.649994,137.100006,139.199997,129.933121,823221
2015-01-05,138.000000,138.000000,134.899994,135.850006,126.806168,819028
2015-01-06,134.800003,135.500000,132.250000,133.500000,124.612610,644573
2015-01-07,133.500000,137.100006,131.600006,134.449997,125.499352,890990
2015-01-08,136.000000,143.600006,135.399994,142.500000,133.013443,1004096
2015-01-09,143.500000,144.350006,135.649994,137.850006,128.673050,944359
2015-01-12,137.000000,138.399994,135.699997,136.699997,127.599556,404230
2015-01-13,137.149994,137.500000,132.600006,133.250000,124.379250,796485
2015-01-14,132.050003,134.899994,132.050003,133.350006,124.472588,505122
2015-01-15,138.500000,149.500000,136.600006,147.199997,137.400558,2595907
2015-01-16,147.199997,151.300003,143.050003,146.100006,136.373810,1738113
2015-01-19,147.300003,148.550003,143.550003,145.250000,135.580368,684631
2015-01-20,145.500000,147.649994,143.399994,145.649994,135.953751,577875
2015-01-21,146.100006,146.600006,142.050003,143.800003,134.226929,604824
2015-01-22,144.199997,149.649994,143.399994,148.550003,138.660690,1012466
2015-01-23,150.250000,157.100006,148.699997,156.250000,145.848083,1697202
2015-01-27,156.699997,159.050003,153.750000,158.100006,147.574951,916906
2015-01-28,156.550003,163.800003,154.199997,162.949997,152.102036,1405545
2015-01-29,162.500000,168.300003,161.449997,166.149994,155.089020,1129301
2015-01-30,167.149994,175.199997,165.899994,169.800003,158.496033,1765970
2015-02-02,170.050003,174.000000,168.449997,172.500000,161.016281,791770
2015-02-03,173.300003,174.000000,167.600006,169.850006,158.542709,1008224
2015-02-04,170.500000,179.000000,165.350006,173.149994,161.623001,1661696
2015-02-05,173.000000,174.399994,168.000000,169.350006,158.075989,794873
2015-02-06,169.500000,171.649994,160.100006,163.850006,152.942154,1120954
2015-02-09,160.000000,162.399994,154.350006,157.300003,146.828186,1389135
2015-02-10,152.000000,161.000000,148.000000,157.949997,147.434906,2077093
2015-02-11,157.100006,160.550003,156.199997,158.699997,148.134979,1891400
2015-02-12,159.000000,160.800003,155.800003,158.899994,148.321640,882286
2015-02-13,160.000000,164.399994,153.750000,155.149994,144.821289,1099814
2015-02-16,157.050003,158.050003,154.500000,155.649994,145.288010,1102474
2015-02-18,156.000000,157.199997,148.350006,149.649994,139.687469,1158648
2015-02-19,151.000000,152.600006,146.699997,150.199997,140.200836,1263680
2015-02-20,152.000000,154.500000,150.000000,151.300003,141.227615,1105923
2015-02-23,152.000000,152.100006,145.500000,146.350006,136.607178,899570
2015-02-24,147.500000,148.500000,145.199997,146.699997,136.933823,715500
2015-02-25,148.000000,150.649994,146.750000,147.649994,137.820587,871975
2015-02-26,148.000000,151.300003,146.800003,150.300003,140.294205,856961
2015-02-27,148.000000,156.550003,147.100006,155.750000,145.381378,1952929
2015-02-28,null,null,null,null,null,null
2015-03-02,157.000000,160.000000,153.500000,154.550003,144.261261,1090388
2015-03-03,155.399994,156.800003,150.500000,151.199997,141.134262,829213
2015-03-04,155.050003,158.000000,151.899994,154.149994,143.887894,1470761
2015-03-05,155.000000,155.649994,151.800003,153.600006,143.374512,676100
