Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,19399.000000,19499.900391,19216.000000,19276.900391,19104.605469,6371
2014-01-02,19366.000000,19444.000000,18956.300781,19019.800781,18849.798828,10813
2014-01-03,19001.000000,19249.000000,18905.099609,19162.699219,18991.423828,11415
2014-01-06,19174.000000,19439.900391,19046.099609,19287.900391,19115.505859,13030
2014-01-07,19349.000000,19450.000000,19056.099609,19120.300781,18949.406250,7225
2014-01-08,19170.000000,19300.000000,19000.000000,19075.900391,18905.404297,6721
2014-01-09,19150.000000,19249.900391,19023.300781,19153.099609,18981.908203,6314
2014-01-10,19105.000000,19299.900391,19002.000000,19101.500000,18930.771484,6476
2014-01-13,19170.000000,19289.900391,18925.500000,19124.800781,18953.867188,7724
2014-01-14,19170.000000,19420.000000,19103.099609,19264.199219,19092.009766,8600
2014-01-15,19519.000000,19519.000000,19210.000000,19271.800781,19099.546875,2863
2014-01-16,19271.800781,19920.000000,19151.000000,19824.800781,19647.605469,18815
2014-01-17,19899.000000,20155.000000,19421.000000,19522.800781,19348.304688,17950
2014-01-20,19551.000000,19733.599609,19422.000000,19610.800781,19435.523438,8857
2014-01-21,19612.000000,19769.900391,19560.000000,19624.699219,19449.296875,5115
2014-01-22,19624.699219,20049.000000,19570.000000,19953.000000,19774.658203,9540
2014-01-23,20050.000000,20149.000000,19370.000000,19408.800781,19235.324219,12486
2014-01-24,19549.000000,19550.000000,19211.199219,19249.800781,19077.753906,6638
2014-01-27,19175.000000,19244.900391,18740.000000,18804.699219,18636.628906,7680
2014-01-28,18785.800781,19148.699219,18645.000000,19034.300781,18864.171875,5420
2014-01-29,19000.000000,19150.000000,18855.300781,18948.699219,18779.337891,3995
2014-01-30,18900.000000,19247.500000,18670.000000,19030.099609,18883.925781,4941
2014-01-31,19287.000000,19530.000000,19112.300781,19433.900391,19284.625000,8039
2014-02-03,19450.000000,19850.000000,19350.000000,19676.800781,19525.664063,11770
2014-02-04,19470.000000,20020.000000,19305.000000,19895.199219,19742.382813,10185
2014-02-05,19906.000000,20125.000000,19730.000000,19925.400391,19772.349609,12958
2014-02-06,19835.000000,20060.000000,18985.000000,19378.300781,19229.453125,33650
2014-02-07,19050.000000,19250.000000,18686.400391,18807.800781,18663.335938,18591
2014-02-10,18944.000000,19159.900391,18740.000000,18832.699219,18688.041016,10721
2014-02-11,19085.000000,19210.000000,18911.099609,19161.900391,19014.710938,8957
