Date,Open,High,Low,Close,Adj Close,Volume
01/01/2014,472.049988,477.700012,468.600006,469.950012,432.132446,67564
02/01/2014,472,474.700012,460,469.950012,432.132446,661161
03/01/2014,468.950012,472.200012,460.25,469.299988,431.534729,54614
06/01/2014,472,477,466,469.049988,431.304871,98398
07/01/2014,473.5,474.700012,461.5,471.600006,433.649658,75500
08/01/2014,468.850006,478.899994,468.399994,472.350006,434.339325,120175
09/01/2014,474.850006,474.850006,463.950012,466.299988,428.776123,27745
10/01/2014,469,477.899994,462.5,465.899994,428.408386,99347
13/01/2014,468,474,468,471.049988,433.14389,33480
14/01/2014,472,473.5,466,469.450012,431.672668,29281
15/01/2014,473.25,475.950012,470.25,475.049988,436.822052,70314
16/01/2014,471.25,481.600006,471.25,475.799988,437.511688,76296
17/01/2014,477.799988,478,471.100006,475.149994,436.914001,72734
20/01/2014,475.149994,478.5,472.850006,475.700012,437.419739,22163
21/01/2014,478.399994,490,470,473.850006,435.718628,85114
22/01/2014,496.5,533.299988,496.5,511.600006,470.430817,1248186
23/01/2014,513.450012,558,507,545.799988,501.878662,1106042
24/01/2014,537,548.799988,525.299988,537.150024,498.491364,298425
27/01/2014,532,567.700012,525,545.599976,506.333221,480478
28/01/2014,552.849976,565,536.049988,538.150024,499.419556,125514
29/01/2014,541.049988,549.5,521,525.400024,487.587006,87987
30/01/2014,520.400024,533,512,513.5,476.543457,76094
31/01/2014,517.900024,544.900024,516,539.150024,500.347473,132058
03/02/2014,544,567,543.799988,560.200012,519.882629,236906
04/02/2014,558.950012,563.950012,545.150024,550.450012,510.834259,116908
05/02/2014,552.049988,557.700012,548.049988,550.099976,510.509369,39884
06/02/2014,550.799988,554.799988,533,534.75,496.26413,64380
07/02/2014,535.049988,554,535.049988,540.599976,501.693024,59966
10/02/2014,541,551,536,540.349976,501.46106,30108
11/02/2014,540,548,535.099976,541.549988,502.574677,32226
12/02/2014,540.549988,565,540.549988,561.099976,520.717651,272147
13/02/2014,564.849976,572,549.299988,557.400024,517.283936,130274
14/02/2014,558,562.700012,550.849976,557.849976,517.701599,25736
17/02/2014,562,570,550.049988,554.299988,514.407166,20053
18/02/2014,555.5,560.5,550.349976,555.049988,515.103088,41208
19/02/2014,558.700012,558.700012,551.400024,554.900024,514.963989,60972
20/02/2014,554.599976,564.400024,546.549988,551.599976,511.901306,30935
21/02/2014,559.5,565.799988,552,559.400024,519.140137,90298
24/02/2014,564,564,550,552.25,512.504761,40017
25/02/2014,554,563.950012,552.650024,554.549988,514.639099,26865
26/02/2014,552.700012,559,551,554.75,514.824768,23473
28/02/2014,559,559.299988,550.099976,553.799988,513.943115,68344
03/03/2014,553,578.5,553,562.799988,522.295349,170465
04/03/2014,569.799988,576,562,564.700012,524.058655,109089
05/03/2014,568.849976,569.5,560,561.950012,521.50647,198612
06/03/2014,562.5,565.349976,551.5,557.5,517.376709,52737
07/03/2014,560,563,550.200012,553.950012,514.082214,46846
10/03/2014,552,556.25,537,539.099976,500.300934,43276
11/03/2014,540,543.25,518.599976,519.75,482.343658,71880
12/03/2014,520,535.799988,520,522.900024,485.266968,58663
13/03/2014,523.049988,534.799988,523.049988,528.700012,490.649567,45194
14/03/2014,529,557.599976,520.25,535.400024,496.867401,203516
18/03/2014,536.049988,551.900024,531.349976,543.650024,504.52359,95677
19/03/2014,540.549988,548,528.099976,537.75,499.048309,262434
20/03/2014,534.5,544.950012,534.5,540.549988,501.646729,28422
21/03/2014,544.950012,561.900024,541.200012,557.950012,517.794434,90863
24/03/2014,558,568.450012,547,550.700012,511.066162,39185
25/03/2014,548.25,554.650024,540.299988,545.5,506.240509,23967
26/03/2014,544.799988,549.700012,538,544.450012,505.265991,85290
27/03/2014,543.099976,555,537,544.5,505.312408,51154
28/03/2014,541.200012,548.799988,522.099976,529.299988,491.206299,64912
31/03/2014,530,540,522.099976,524.25,486.519745,67778
01/04/2014,530.200012,538,520.25,534.299988,495.846466,67780
02/04/2014,530.200012,556,530.200012,549.799988,510.230957,122409
03/04/2014,564,575,556,558.25,518.072937,171225
04/04/2014,563.950012,565.5,559.299988,562.75,522.249023,98324
07/04/2014,563.25,567.549988,548,549.950012,510.370178,178375
09/04/2014,552,565,552,559.450012,519.186401,78212
10/04/2014,568,644,564,568.200012,527.306763,412220
11/04/2014,570,574,556,558.450012,518.258484,76059
15/04/2014,562.599976,564.799988,557.200012,559.5,519.23291,106264
16/04/2014,558,564.900024,551.099976,553.700012,513.85022,41229
17/04/2014,552.25,561.900024,552.099976,554.25,514.360718,46016
21/04/2014,557.799988,564,547,550.950012,511.298218,46643
22/04/2014,556.799988,561.400024,542.400024,548.299988,508.838989,189423
23/04/2014,545.450012,562.900024,545.450012,559.950012,519.650513,59287
24/04/2014,559.950012,559.950012,559.950012,559.950012,519.650513,0
25/04/2014,560.650024,565,550,560.349976,520.021729,47693
28/04/2014,555.349976,567,555.349976,563.450012,522.89856,40436
29/04/2014,560.25,597.450012,560.099976,586.049988,543.872009,302007
30/04/2014,587.25,603,570,578,536.401306,179056
02/05/2014,578,591.950012,577,585.549988,543.408081,62082
05/05/2014,585.200012,606.849976,585.200012,601.450012,558.163696,222907
06/05/2014,609.900024,649,609.849976,642.349976,596.120178,520419
07/05/2014,640,658.650024,626.900024,634.25,588.603027,341061
08/05/2014,639.400024,643.400024,631,636.299988,590.505554,185439
09/05/2014,639,647,624.099976,627.400024,582.246216,165397
12/05/2014,670.400024,689,639.299988,643.75,597.419373,665704
13/05/2014,649.650024,655,630,633.200012,587.628784,118274
14/05/2014,631.400024,638.700012,620,624.150024,579.230042,89617
15/05/2014,629.799988,630,597,604.75,561.226257,405606
16/05/2014,605.200012,628,592,594.650024,551.85321,304662
19/05/2014,599.650024,603.75,571.75,591.900024,549.301025,489620
20/05/2014,592.099976,629,592.099976,619.900024,575.285828,179929
21/05/2014,618.200012,642.049988,618.200012,629.150024,583.870117,134817
22/05/2014,630.450012,639.200012,630.450012,634.650024,588.974426,134126
23/05/2014,635.099976,636.599976,620.099976,625.200012,580.204407,38533
26/05/2014,611,633,593.950012,604,560.530212,65737
27/05/2014,606,626.799988,594.400024,609.549988,565.680725,40753
28/05/2014,607,624,605,619.549988,574.961121,49983
29/05/2014,625.5,631,607.150024,614.299988,570.088928,43538
30/05/2014,608.599976,622.599976,608.599976,611.349976,567.351196,53256
02/06/2014,612.349976,642,609.950012,633.299988,587.721436,54511
03/06/2014,635.200012,642.5,626.5,631,585.586975,43034
04/06/2014,634.200012,638.400024,614.200012,618.150024,573.661926,33909
05/06/2014,618.150024,629,607.099976,613.200012,569.068176,161523
06/06/2014,615,665,614,635.799988,590.041504,186138
09/06/2014,643.950012,657.900024,635,651.650024,604.750793,81725
10/06/2014,648,671,642,656.200012,608.973389,106188
11/06/2014,658.900024,669.75,655,663.099976,615.37677,52325
12/06/2014,663.5,689,663.5,685.400024,636.07196,246875
13/06/2014,690.099976,691.900024,668.150024,676.049988,627.394653,172909
16/06/2014,675.400024,676,660.849976,669.049988,625.524902,65014
17/06/2014,669.049988,677,662.549988,671.950012,628.236267,35098
18/06/2014,668.049988,689,668,679.650024,635.435303,109216
19/06/2014,680,686,665,680.900024,636.603943,49988
20/06/2014,675.349976,685,670,673.299988,629.498413,31942
23/06/2014,673.5,684,671.549988,678.900024,634.73407,26102
24/06/2014,673.5,700,673.5,695.25,650.020447,107958
25/06/2014,693.200012,722.799988,692.799988,711.700012,665.40033,131185
26/06/2014,712,723.950012,696.400024,702.400024,656.705322,40102
27/06/2014,695.5,711,694.549988,702.900024,657.172791,34412
30/06/2014,705.099976,720,703,710.049988,663.857666,116809
01/07/2014,707.549988,718.900024,705,712.200012,665.867798,79093
02/07/2014,718,724.75,711.200012,716.799988,670.168518,55466
03/07/2014,714.049988,723.299988,697,706.849976,660.865845,112061
04/07/2014,707,712,692,696.900024,651.563171,62402
07/07/2014,699.950012,700.75,690,693.349976,648.24408,66900
08/07/2014,697.950012,698.5,675,683.349976,638.894531,48470
09/07/2014,702,702,674.25,680.299988,636.04303,102536
10/07/2014,676.150024,692.799988,668,680,635.762573,49428
11/07/2014,682.299988,692.799988,672.049988,676.099976,632.116211,40536
14/07/2014,675,678,659.5,666.099976,622.766724,182176
15/07/2014,663.150024,739,663.150024,691.900024,646.888367,256391
16/07/2014,696,718,680,706.099976,660.164551,86318
17/07/2014,701.049988,714.799988,680,700.150024,654.601685,124734
18/07/2014,694.5,702.650024,692,697.150024,651.796814,17134
21/07/2014,697.950012,710.150024,696.25,699.5,653.993896,31622
22/07/2014,695.099976,705,688,696.950012,651.609985,54575
23/07/2014,698.950012,701.799988,692.5,699.75,654.2276,40018
24/07/2014,699.299988,709.799988,685.599976,689.950012,645.065247,73188
25/07/2014,690.049988,699.799988,688,694.599976,649.41272,86394
28/07/2014,704,725.5,697.099976,720.75,673.86145,61415
30/07/2014,725,744.5,722,734.549988,686.763733,125888
31/07/2014,770.400024,785,740,743.700012,695.318481,278171
01/08/2014,735.049988,762,735,745.450012,696.954712,88607
04/08/2014,747.549988,759.950012,747.549988,753.650024,704.621277,91434
05/08/2014,755.549988,763.549988,750.299988,756.400024,707.192322,52021
06/08/2014,756.400024,757,750,751.099976,702.237122,28170
07/08/2014,750,756,739.900024,750,701.208679,81036
08/08/2014,746.950012,760,734,746.75,698.170105,72042
11/08/2014,746,755,746,749.900024,701.115234,60705
12/08/2014,750,759.5,744,746,697.468872,34286
13/08/2014,743,749.549988,736,740.200012,692.046204,50060
14/08/2014,738,746.5,736.099976,740.150024,691.999512,24490
18/08/2014,737.049988,772,737.049988,754.799988,705.696289,222019
19/08/2014,752.150024,775,752.150024,766.900024,717.009277,105020
20/08/2014,767.5,788,761,771.900024,721.68396,106620
21/08/2014,775,799,775,792.849976,741.271057,82698
22/08/2014,799.900024,799.900024,781,783.5,732.529175,31555
25/08/2014,791.349976,795,783,786.099976,734.960144,26518
26/08/2014,795,813.950012,791,808.849976,756.230164,66735
27/08/2014,811.349976,837.950012,803.5,824.450012,770.815308,97015
28/08/2014,827.700012,854,827,832.75,778.575378,119523
01/09/2014,837,845,793,829.950012,775.95752,55997
02/09/2014,832.700012,848,829.900024,843.349976,788.48584,35321
03/09/2014,846.400024,856.700012,844.049988,852.049988,796.619751,36424
04/09/2014,855.049988,872,854,859.900024,803.959045,90476
05/09/2014,882,898.799988,872,886.400024,828.735229,197180
08/09/2014,887.950012,888,865,870.099976,813.495605,85639
09/09/2014,870.150024,880,860,866.299988,809.942749,62559
10/09/2014,864,873,860,864.099976,807.885925,34287
11/09/2014,862.099976,876.400024,862.099976,874.25,817.375549,71064
12/09/2014,881.900024,881.900024,863.049988,870.049988,813.448792,92375
15/09/2014,877.900024,877.900024,865.049988,874.799988,817.889771,49422
16/09/2014,887.900024,933.700012,860,886.049988,828.407959,137811
17/09/2014,877.099976,898.049988,851,855.700012,800.03241,86285
18/09/2014,854.799988,861.599976,828.049988,839.650024,785.02655,191668
19/09/2014,847.5,872.049988,840,845.150024,790.168762,157173
22/09/2014,849,866.950012,847.599976,856.25,800.546631,49008
23/09/2014,870,880,840,849.5,794.235718,95879
24/09/2014,854.950012,860,840.599976,854.599976,799.003967,43324
25/09/2014,855,865.75,837,850.849976,795.497864,77013
26/09/2014,842.299988,866,832.200012,864.349976,808.119507,83721
29/09/2014,866,879.650024,860.25,869.900024,813.308594,52475
30/09/2014,880,884.849976,867.150024,871.450012,814.75769,75973
01/10/2014,879.5,934,866.099976,884.5,826.95874,241301
07/10/2014,885,887.400024,868.599976,870.049988,813.448792,50183
08/10/2014,874.849976,874.849976,846.299988,853.799988,798.255981,48361
09/10/2014,850.049988,854.950012,848.400024,851.099976,795.731567,19127
10/10/2014,845.5,850,837.25,843.099976,788.252075,30207
13/10/2014,840,848.099976,827.5,836.599976,782.174866,166056
14/10/2014,828.25,852.049988,828.25,845.950012,790.916626,16744
15/10/2014,845.950012,845.950012,845.950012,845.950012,790.916626,0
16/10/2014,840.349976,844.75,822.950012,834.299988,780.024536,95480
17/10/2014,826.049988,839.950012,816,818.599976,765.345886,21316
20/10/2014,818.599976,839,811.099976,815.599976,762.541016,19030
21/10/2014,814,835,814,828.650024,774.742065,37908
