Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1312.00,1343.75,1307.25,1332.00,1321.061843730697961704,12952,741,17110393.00,2982,23.02,36.50,20.00
28-December-2018,1310.00,1322.00,1310.00,1314.10,1315.467850500398547515,22582,458,29705895.00,2447,10.84,12.00,4.10
27-December-2018,1300.05,1323.05,1300.00,1310.95,1313.981139063527189563,108001,1143,141911277.00,95639,88.55,23.05,10.90
26-December-2018,1310.00,1318.50,1286.85,1297.95,1302.972631662815711895,25102,1127,32707219.00,4252,16.94,31.65,-12.05
24-December-2018,1303.50,1316.50,1300.10,1305.45,1308.383698724314414483,13091,526,17128051.00,1205,9.20,16.40,1.95
21-December-2018,1320.00,1325.15,1296.00,1303.00,1304.656143580303727565,10865,773,14175089.00,1752,16.13,29.15,-17.00
20-December-2018,1334.00,1342.80,1298.10,1316.00,1319.500357454920962745,12589,1150,16611190.00,3177,25.24,44.70,-18.00
19-December-2018,1333.10,1359.00,1284.00,1333.05,1318.111102600436597602,52222,3397,68834398.00,8325,15.94,75.00,-0.05
18-December-2018,1399.00,1399.00,1325.00,1335.90,1361.845470771976796073,22410,1652,30518957.00,14073,62.80,74.00,-63.10
17-December-2018,1453.90,1465.00,1392.55,1399.45,1419.959568933481976960,13455,1203,19105556.00,4632,34.43,72.45,-54.45
14-December-2018,1420.00,1444.45,1407.85,1431.35,1429.188986556359875904,3868,388,5528103.00,1377,35.60,36.60,11.35
13-December-2018,1450.00,1458.70,1430.00,1437.45,1442.885900883595850941,7809,678,11267496.00,2445,31.31,28.70,-12.55
12-December-2018,1412.00,1449.00,1402.00,1433.45,1435.050573257367939790,14217,1212,20402114.00,5050,35.52,47.00,21.45
11-December-2018,1395.00,1420.70,1389.25,1402.40,1404.381564844587352625,7464,598,10482304.00,2049,27.45,31.45,7.40
10-December-2018,1371.85,1414.15,1371.85,1397.00,1398.775020096463022508,9952,986,13920609.00,2700,27.13,42.30,25.15
7-December-2018,1392.20,1405.00,1379.15,1392.45,1392.323995950050624367,5926,687,8250912.00,1943,32.79,25.85,0.25
6-December-2018,1372.00,1398.55,1353.80,1378.20,1375.415124208475401850,8212,912,11294909.00,1450,17.66,44.75,6.20
