Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1994.00,2000.00,1961.00,1970.00,1972.172334734428735192,41872,1255,82578800.00,17298,41.31,39.00,-24.00
28-December-2018,1956.30,1989.00,1953.10,1980.10,1982.458945167665746533,61223,3087,121372084.00,21336,34.85,35.90,23.80
27-December-2018,1951.00,1953.60,1930.10,1946.65,1942.828446398748493753,47303,2162,91901614.00,16667,35.23,23.50,-4.35
26-December-2018,1908.00,1941.40,1884.75,1934.45,1912.647736479143201533,50607,2060,96793364.00,11566,22.85,56.65,26.45
24-December-2018,1950.00,1951.25,1896.15,1901.95,1916.882175930072184706,55829,2273,107017615.00,19778,35.43,55.10,-48.05
21-December-2018,1976.25,1978.40,1930.85,1949.45,1950.497981930254158574,59215,2895,115498738.00,18342,30.98,47.55,-26.80
20-December-2018,1977.00,1982.30,1944.40,1976.25,1959.808183176426115601,55553,2433,108873224.00,10581,19.05,37.90,-0.75
19-December-2018,1959.50,1982.40,1950.55,1978.20,1970.836787125233282435,41259,2144,81314755.00,11878,28.79,31.85,18.70
18-December-2018,1954.95,1958.35,1934.00,1953.15,1947.098912507408128841,965156,1609,1879254198.00,16821,1.74,24.35,-1.80
17-December-2018,1919.00,1963.30,1915.50,1959.15,1944.127161811190078318,49669,2165,96562852.00,15469,31.14,47.80,40.15
14-December-2018,1942.00,1953.65,1900.80,1904.15,1911.098321842845868636,67157,2728,128343630.00,24574,36.59,52.85,-37.85
13-December-2018,1949.80,1961.15,1928.15,1941.95,1943.660472539687063584,35087,2242,68197215.00,11087,31.60,33.00,-7.85
12-December-2018,1914.00,1945.00,1905.30,1939.20,1921.983536732721121314,33104,1276,63625343.00,9753,29.46,39.70,25.20
11-December-2018,1894.00,1911.25,1857.00,1905.45,1888.616913801531693009,73644,2658,139085304.00,14952,20.30,54.25,11.45
10-December-2018,1940.00,1940.00,1903.00,1909.20,1917.885446595877576514,24015,1371,46058019.00,6747,28.09,37.00,-30.80
7-December-2018,1944.00,1964.50,1928.55,1952.25,1946.916821412563232374,31234,1152,60810000.00,11666,37.35,35.95,8.25
6-December-2018,1958.00,1970.00,1935.90,1944.20,1961.805629711541238751,242357,2721,475457327.00,199646,82.38,34.10,-13.80
5-December-2018,1929.00,1979.50,1921.70,1973.20,1953.770112828059847927,81540,3476,159310415.00,31031,38.06,57.80,44.20
4-December-2018,1979.85,1983.00,1919.00,1939.20,1935.739118155823066332,84981,2539,164501046.00,28854,33.95,64.00,-40.65
3-December-2018,1991.00,2015.00,1952.65,1977.25,1985.363291229758104884,153827,3139,305402479.00,80822,52.54,62.35,-13.75
30-November-2018,1965.00,1994.25,1959.40,1983.70,1976.497395395731809779,71412,2619,141145632.00,31157,43.63,34.85,18.70
29-November-2018,1935.25,1964.00,1935.00,1955.55,1940.069683552773204093,859385,3223,1667266785.00,792030,92.16,29.00,20.30
28-November-2018,1909.10,1929.00,1907.20,1926.30,1918.939867770280605741,58837,2360,112904665.00,19317,32.83,21.80,17.20
27-November-2018,1885.00,1908.00,1870.50,1901.65,1894.583763501989766913,43975,1404,83314321.00,10687,24.30,37.50,16.65
26-November-2018,1876.25,1899.90,1870.50,1880.20,1885.334338972780763159,313565,1233,591174862.00,284674,90.79,29.40,3.95
22-November-2018,1871.00,1888.00,1867.05,1874.50,1879.641309022103724090,23254,1082,43709179.00,6139,26.40,20.95,3.50
21-November-2018,1878.00,1891.00,1865.00,1867.90,1874.270756765786835950,23944,948,44877539.00,6538,27.31,26.00,-10.10
20-November-2018,1890.00,1901.75,1872.10,1877.05,1881.815923261390887290,31275,1236,58853793.00,11832,37.83,29.65,-12.95
