Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,138.20,138.95,136.65,137.10,137.894051047237475182,447272,2516,61676148.00,143579,32.10,2.30,-1.10
28-December-2018,134.40,138.60,134.20,137.65,137.392554849656696393,1824624,7196,250689753.00,562132,30.81,4.40,3.25
27-December-2018,134.95,135.15,131.10,134.05,133.547902536373565620,1409059,6582,188176874.00,415445,29.48,4.05,-0.90
26-December-2018,136.45,137.20,134.20,134.70,135.221792891313630194,1470764,5548,198879345.00,589630,40.09,3.00,-1.75
24-December-2018,140.50,140.90,134.40,135.05,136.806571107732004184,885178,5189,121098167.00,315791,35.68,6.50,-5.45
21-December-2018,141.60,142.90,139.20,139.70,140.554459735261531284,1714900,8065,241036843.00,452563,26.39,3.70,-1.90
20-December-2018,145.90,148.20,144.85,147.80,146.622424187558923066,1093587,5341,160344377.00,451938,41.33,3.35,1.90
19-December-2018,147.00,147.75,145.80,146.05,146.324195970315721369,1035565,5578,151528216.00,458511,44.28,1.95,-0.95
18-December-2018,143.35,144.90,143.05,144.60,144.030834085765546031,1535022,6582,221090499.00,744531,48.50,1.85,1.25
17-December-2018,142.55,143.00,141.40,142.45,142.357990776466055090,1744017,6966,248274756.00,821367,47.10,1.60,-0.10
14-December-2018,141.10,142.35,140.25,141.45,141.415747416018274937,3234156,13978,457360588.00,1214445,37.55,2.10,0.35
13-December-2018,138.40,139.10,136.55,137.20,137.624750945113890652,1467548,6709,201970928.00,484087,32.99,2.55,-1.20
12-December-2018,133.00,137.05,131.95,136.45,134.616316299413586369,1219958,6107,164226252.00,460816,37.77,5.10,3.45
11-December-2018,133.50,134.15,129.95,132.30,132.091408443358363789,1572218,11964,207676490.00,398836,25.37,4.20,-1.20
10-December-2018,129.90,135.35,127.70,134.00,132.717488286539840247,3452225,15875,458170631.00,805533,23.33,7.65,4.10
7-December-2018,132.25,133.60,129.00,129.55,130.412438249823570924,1700400,7276,221753310.00,509266,29.95,4.60,-2.70
6-December-2018,133.00,133.00,129.95,130.35,131.618522334865592316,1696406,7227,223278451.00,592625,34.93,3.05,-2.65
5-December-2018,135.20,138.15,132.60,134.30,134.862596935273053641,1198867,4876,161682317.00,389784,32.51,5.55,-0.90
4-December-2018,133.15,136.10,132.30,135.20,134.806287020734239087,951325,4511,128244591.00,312542,32.85,3.80,2.05
3-December-2018,133.50,134.25,132.30,132.95,133.197090642071746437,1579730,5109,210415440.00,869296,55.03,1.95,-0.55
