Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,7575.00,7586.60,7445.00,7462.30,7505.086381687674206358,40541,4130,304263707.00,14177,34.97,141.60,-112.70
28-December-2018,7539.00,7575.75,7492.00,7510.70,7528.633302567258059002,29253,3912,220235110.00,5533,18.91,83.75,-28.30
27-December-2018,7645.00,7670.00,7485.35,7505.30,7563.333790600938136118,45196,5175,341832434.00,12995,28.75,184.65,-139.70
26-December-2018,7512.00,7599.80,7406.00,7570.75,7512.420731349415976991,51111,6259,383967336.00,9453,18.50,193.80,58.75
24-December-2018,7542.00,7597.50,7478.05,7513.70,7531.323762110697643233,59658,6766,449303713.00,10218,17.13,119.45,-28.30
21-December-2018,7810.00,7845.15,7512.50,7536.75,7604.044058297939833988,113486,12862,862952544.00,34418,30.33,332.65,-273.25
20-December-2018,7830.55,7917.75,7772.95,7808.95,7844.298719689621726479,51550,6024,404373599.00,7840,15.21,144.80,-21.60
19-December-2018,7771.00,7929.00,7771.00,7916.15,7878.741680359690146440,55381,8048,436332593.00,9396,16.97,158.00,145.15
18-December-2018,7715.00,7772.00,7654.00,7757.70,7729.790356073356794684,45749,4607,353630179.00,10413,22.76,118.00,42.70
17-December-2018,7675.00,7791.70,7660.05,7708.55,7731.368439490445859872,62800,6305,485529938.00,13815,22.00,131.65,33.55
14-December-2018,7671.00,7684.45,7551.95,7654.10,7610.238956923197308188,51118,6037,389020195.00,6901,13.50,132.50,-16.90
13-December-2018,7499.00,7695.55,7488.00,7663.75,7618.386718953341083791,57631,6863,439055245.00,5903,10.24,207.55,164.75
12-December-2018,7360.00,7508.80,7302.00,7487.05,7460.423952904844624589,51810,5192,386524565.00,8968,17.31,206.80,127.05
11-December-2018,7267.00,7346.30,7220.00,7309.85,7284.604471627804594267,63601,6874,463308129.00,8749,13.76,126.30,42.85
10-December-2018,7211.00,7387.35,7162.35,7350.10,7318.810434753628501441,60011,8583,439209133.00,10623,17.70,225.00,139.10
7-December-2018,7236.20,7345.80,7209.70,7314.10,7288.715507136454526649,43509,5567,317124723.00,7467,17.16,136.10,77.90
6-December-2018,7467.00,7491.05,7178.30,7209.70,7275.791610627058846461,102606,12471,746539874.00,27370,26.67,312.75,-257.30
5-December-2018,7704.80,7739.00,7521.90,7559.55,7628.863777294016755722,45477,5351,346937838.00,10929,24.03,217.10,-145.25
4-December-2018,7791.00,7791.00,7701.00,7724.75,7732.352576259200925717,31111,3429,240561221.00,3717,11.95,90.00,-66.25
3-December-2018,7704.00,7780.00,7636.10,7759.80,7716.433810634566597994,58733,7720,453209307.00,9315,15.86,143.90,55.80
30-November-2018,7587.00,7719.00,7561.00,7664.60,7668.545023537323470073,59480,7582,456125058.00,12379,20.81,158.00,77.60
29-November-2018,7616.00,7635.00,7518.50,7550.00,7579.749937821993249244,28145,3484,213332062.00,5734,20.37,116.50,-66.00
28-November-2018,7642.10,7705.00,7550.00,7565.50,7610.990151739295828226,70977,4675,540205248.00,34645,48.81,155.00,-76.60
27-November-2018,7554.00,7645.00,7505.70,7629.60,7585.650800258080629383,48047,5447,364467764.00,5688,11.84,139.30,75.60
26-November-2018,7448.00,7562.00,7390.00,7533.95,7498.876300625280967755,122345,7497,917450021.00,63099,51.57,172.00,85.95
22-November-2018,7409.00,7475.00,7315.00,7409.95,7426.803610470364055761,49855,5693,370263294.00,10423,20.91,160.00,0.95
21-November-2018,7345.00,7457.60,7325.00,7415.80,7364.573662144468897122,143588,6078,1057464403.00,95499,66.51,132.60,70.80
20-November-2018,7417.00,7437.30,7313.00,7332.15,7368.732079017325144376,43636,5163,321541993.00,8548,19.59,124.30,-84.85
19-November-2018,7379.00,7450.00,7287.15,7417.60,7359.238047058823529411,42500,5198,312767617.00,9633,22.67,162.85,38.60
16-November-2018,7490.00,7543.10,7304.00,7332.05,7414.357223035280410349,70379,7713,521815047.00,15331,21.78,239.10,-157.95
15-November-2018,7370.00,7502.00,7330.35,7482.85,7446.053146503379914516,131956,10355,982551389.00,14948,11.33,171.65,112.85
14-November-2018,7183.00,7406.00,7183.00,7372.35,7294.174023937501771223,105859,11013,772153968.00,31029,29.31,223.00,189.35
13-November-2018,7064.00,7174.60,7023.65,7146.40,7123.910815086171009907,60055,6659,427826464.00,9040,15.05,150.95,82.40
12-November-2018,7283.00,7350.00,7049.25,7073.90,7187.330922791229197914,56004,6610,402519281.00,18987,33.90,300.75,-209.10
9-November-2018,7138.00,7302.45,7037.30,7265.50,7227.799740829346092503,60192,7286,435055722.00,8750,14.54,265.15,127.50
7-November-2018,7154.00,7154.00,7090.10,7135.45,7128.710100493953329926,11742,1907,83705314.00,5571,47.45,63.90,-18.55
6-November-2018,7225.00,7237.00,7050.00,7073.25,7137.281465201465201465,61425,6787,438407514.00,11742,19.12,187.00,-151.75
5-November-2018,7150.00,7252.45,7069.55,7167.40,7183.622598660579797464,86306,9603,619989732.00,16394,19.00,182.90,17.40
2-November-2018,6795.00,7160.90,6760.00,7136.80,6992.942829154000747331,198038,18971,1384868412.00,37997,19.19,400.90,341.80
1-November-2018,6673.80,6740.00,6601.00,6709.60,6687.117178489042675893,83232,8760,556582137.00,12297,14.77,139.00,35.80
31-October-2018,6751.00,6760.00,6508.00,6608.95,6591.131520801329938343,95042,14320,626434322.00,26839,28.24,252.00,-142.05
30-October-2018,6800.00,6876.00,6680.00,6697.85,6785.687049175421268444,66822,7128,453433180.00,14799,22.15,196.00,-102.15
29-October-2018,6748.00,6810.00,6700.00,6798.45,6762.896730319809672189,47497,5844,321217306.00,6780,14.27,110.00,50.45
26-October-2018,6731.10,6802.00,6501.65,6705.25,6708.453119392444922955,86379,10100,579469472.00,10950,12.68,300.35,-25.85
25-October-2018,6718.00,6855.70,6625.00,6724.70,6717.011752319858972161,163372,18359,1097371644.00,25242,15.45,230.70,6.70
24-October-2018,6875.00,6886.40,6692.55,6768.55,6760.849032871198568872,71552,8685,483752270.00,17537,24.51,193.85,-106.45
