Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1585.15,1602.85,1585.15,1599.05,1596.662306004712765093,24614,858,39300246.00,6486,26.35,17.70,13.90
28-December-2018,1587.00,1600.00,1573.50,1582.65,1587.504261645193260654,50450,1929,80089590.00,11288,22.37,26.50,-4.35
27-December-2018,1578.00,1592.70,1560.35,1566.35,1578.012467066325556531,52378,1716,82653137.00,12675,24.20,32.35,-11.65
26-December-2018,1560.10,1563.75,1521.60,1557.20,1536.073210099188458070,110900,2309,170350519.00,59957,54.06,42.15,-2.90
24-December-2018,1570.00,1590.75,1557.00,1564.45,1568.082774597983101662,36690,1332,57532957.00,9524,25.96,33.75,-5.55
21-December-2018,1614.55,1623.95,1572.00,1576.60,1590.059609572074631275,44003,1684,69967393.00,9742,22.14,51.95,-37.95
20-December-2018,1609.00,1620.00,1593.80,1615.10,1609.131283089708705098,47409,1892,76287305.00,6748,14.23,26.20,6.10
19-December-2018,1646.00,1653.20,1607.65,1611.95,1626.332852045473404696,60255,2427,97994686.00,17173,28.50,45.55,-34.05
18-December-2018,1630.00,1644.00,1610.00,1639.75,1630.481872135386061816,34036,1369,55495081.00,7819,22.97,34.00,9.75
17-December-2018,1620.00,1639.75,1604.10,1635.50,1627.699701065765531583,30776,1194,50094086.00,6060,19.69,35.65,15.50
14-December-2018,1615.00,1632.85,1590.25,1608.00,1602.815374244243611620,47469,2040,76084043.00,9133,19.24,42.60,-7.00
13-December-2018,1589.65,1626.85,1577.80,1606.95,1607.183971382229430977,90014,2580,144669058.00,30012,33.34,49.05,17.30
12-December-2018,1563.80,1590.30,1555.65,1582.70,1569.696059623448720778,58903,2546,92459807.00,16279,27.64,34.65,18.90
11-December-2018,1518.00,1564.50,1476.30,1552.60,1535.781576489185887763,139170,3780,213734722.00,37845,27.19,88.20,34.60
10-December-2018,1532.95,1571.50,1532.95,1554.90,1557.284130990931266307,117657,2392,183225379.00,44617,37.92,38.55,21.95
7-December-2018,1582.00,1582.00,1532.35,1565.45,1552.858016998439377098,89067,2342,138308405.00,25340,28.45,49.65,-16.55
6-December-2018,1591.00,1592.00,1562.15,1569.75,1573.160763996288277141,38796,1197,61032345.00,5772,14.88,29.85,-21.25
5-December-2018,1634.70,1634.70,1594.95,1603.45,1607.968098790841265757,46644,1820,75002064.00,11686,25.05,39.75,-31.25
4-December-2018,1650.05,1658.00,1632.00,1636.15,1640.632262616201859229,24096,1462,39532675.00,7474,31.02,26.00,-13.90
3-December-2018,1642.50,1660.75,1637.10,1655.65,1648.464924025407896375,64232,1249,105884199.00,34968,54.44,23.65,13.15
30-November-2018,1659.00,1673.60,1624.30,1631.55,1644.913729648805439461,112217,2083,184587284.00,62906,56.06,49.30,-27.45
29-November-2018,1621.00,1670.00,1620.10,1659.75,1647.459698428800716303,419934,2611,691824341.00,357593,85.15,49.90,38.75
28-November-2018,1589.00,1620.00,1588.00,1614.00,1608.965907376678232010,86177,3321,138655855.00,22178,25.74,32.00,25.00
27-November-2018,1560.00,1589.70,1550.00,1584.45,1573.701425755283546508,109065,2494,171635746.00,47137,43.22,39.70,24.45
26-November-2018,1530.00,1567.30,1530.00,1564.30,1557.124890798338938021,83561,1785,130114913.00,51650,61.81,37.30,34.30
22-November-2018,1552.45,1564.40,1524.00,1529.15,1538.285701119764066172,43402,1562,66764676.00,15971,36.80,40.40,-23.30
21-November-2018,1560.00,1568.20,1538.25,1547.05,1548.209581876043734442,63474,1578,98271055.00,21492,33.86,29.95,-12.95
20-November-2018,1537.75,1567.25,1532.95,1558.35,1559.421917058759164022,91390,3052,142515569.00,11462,12.54,34.30,20.60
19-November-2018,1503.00,1543.25,1487.00,1537.75,1524.205273503214039064,56471,2025,86073396.00,15787,27.96,56.25,34.75
16-November-2018,1519.75,1526.20,1487.65,1498.85,1507.657554881969321208,54435,1890,82069339.00,10433,19.17,38.55,-20.90
15-November-2018,1519.90,1532.60,1498.75,1513.80,1517.431556693001001446,44935,1444,68185787.00,7955,17.70,33.85,-6.10
14-November-2018,1497.00,1528.25,1493.40,1513.35,1511.336637019901886491,50146,1921,75787487.00,10197,20.33,34.85,16.35
13-November-2018,1492.00,1496.65,1464.10,1484.40,1479.914833508466693080,58051,2413,85910536.00,12817,22.08,32.55,-7.60
12-November-2018,1510.00,1518.00,1479.65,1491.65,1498.432483513774472543,48677,2027,72939198.00,6937,14.25,38.35,-18.35
9-November-2018,1496.90,1520.00,1480.00,1496.85,1499.697773920271872669,81803,3377,122679777.00,16514,20.19,40.00,-0.05
7-November-2018,1482.55,1488.45,1477.35,1483.25,1482.411468502723255574,9731,416,14425346.00,2055,21.12,11.10,0.70
6-November-2018,1499.00,1511.45,1442.90,1475.50,1477.475820472643757110,93178,3354,137668242.00,10636,11.41,68.55,-23.50
5-November-2018,1539.90,1539.90,1485.00,1491.70,1501.402412041770730317,119318,5774,179144333.00,35872,30.06,54.90,-48.20
2-November-2018,1485.00,1555.10,1479.50,1542.45,1524.694624392325051364,178138,6941,271606051.00,46687,26.21,75.60,57.45
1-November-2018,1415.00,1492.00,1397.40,1464.95,1451.407693191991890168,287059,7905,416639641.00,80525,28.05,94.60,49.95
