Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,283.50,284.00,281.20,281.65,282.430368378174108501,407516,2287,115094894.00,202136,49.60,2.80,-1.85
28-December-2018,279.75,283.95,279.55,281.95,282.161025654658035997,526649,2968,148599822.00,246713,46.85,4.40,2.20
27-December-2018,284.00,284.00,277.60,279.75,279.639735878412993567,421624,2874,117902824.00,168804,40.04,6.40,-4.25
26-December-2018,276.00,278.45,274.75,276.70,276.952968390439145656,416741,3251,115417657.00,110838,26.60,3.70,0.70
24-December-2018,278.00,280.80,275.65,276.25,278.525047507378805644,370995,2689,103331400.00,91093,24.55,5.15,-1.75
21-December-2018,282.35,284.00,275.60,276.50,279.104331216390490790,410970,3128,114703507.00,135356,32.94,8.40,-5.85
20-December-2018,280.55,284.25,280.55,282.20,282.380238204278214347,329717,2376,93105565.00,112614,34.15,3.70,1.65
19-December-2018,280.00,283.95,278.75,282.90,282.102713664048305853,706167,4546,199211627.00,310683,44.00,5.20,2.90
18-December-2018,280.15,280.70,277.10,278.00,278.195782832372102293,321116,2892,89333117.00,114822,35.76,3.60,-2.15
17-December-2018,275.75,281.35,275.75,280.10,278.894826257531175563,685152,3959,191085348.00,400914,58.51,5.60,4.35
14-December-2018,275.00,277.35,273.70,275.65,275.919185939383073873,1606416,2715,443240995.00,364384,22.68,3.65,0.65
13-December-2018,279.30,279.30,273.50,275.60,276.515334010545155516,413460,3381,114328030.00,145514,35.19,5.80,-3.70
12-December-2018,276.95,277.00,272.70,275.65,275.120363935047703291,411502,2675,113212580.00,122063,29.66,4.30,-1.30
11-December-2018,269.90,275.65,268.20,274.65,272.208767490948739812,357685,3395,97364993.00,88485,24.74,7.45,4.75
10-December-2018,273.50,273.50,269.25,269.70,270.095244497282652187,1562001,5231,421889042.00,1173418,75.12,4.25,-3.80
7-December-2018,275.00,276.15,273.15,274.10,274.323185116279069767,671875,2582,184310890.00,133342,19.85,3.00,-0.90
