Symbol,Date,Expiry,Option Type,Strike Price,Stock Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2018,28-Mar-2018,CE,11050,10435.55,0,0,0,86.4,0,76.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11100,10435.55,66.7,81.05,56.5,58.05,58.8,58.05,54,452.28,2.73,11700,900
NIFTY,01-Jan-2018,28-Mar-2018,CE,11150,10435.55,0,0,0,64.9,0,57.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11200,10435.55,46,46.5,39,39.9,39,39.9,76,640.99,2.59,11100,5625
NIFTY,01-Jan-2018,28-Mar-2018,CE,11250,10435.55,0,0,0,48.15,0,42.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11300,10435.55,0,0,0,55.65,0,36.2,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11350,10435.55,0,0,0,35.15,0,30.8,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11400,10435.55,0,0,0,43.25,43.25,26.1,0,0,0,75,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11450,10435.55,0,0,0,25.25,0,22.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11500,10435.55,20,23,15.25,17.55,17.5,17.55,33,285.09,0.47,48300,825
NIFTY,01-Jan-2018,28-Mar-2018,CE,11550,10435.55,0,0,0,17.85,0,15.5,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11600,10435.55,0,0,0,34,0,12.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11650,10435.55,0,0,0,12.4,0,10.75,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11700,10435.55,0,0,0,35.1,35.1,8.9,0,0,0,150,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11750,10435.55,0,0,0,8.5,0,7.35,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11800,10435.55,0,0,0,21.7,0,6,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11850,10435.55,0,0,0,5.7,0,4.95,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11900,10435.55,0,0,0,22.65,22.65,4,0,0,0,150,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,11950,10435.55,0,0,0,3.8,0,3.25,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12000,10435.55,7.05,7.05,6.15,6.15,6.15,6.15,2,18.01,0.01,38850,-75
NIFTY,01-Jan-2018,28-Mar-2018,CE,12050,10435.55,0,0,0,2.65,0,2.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12100,10435.55,0,0,0,16.35,0,1.7,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12200,10435.55,0,0,0,4.85,0,1.1,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12300,10435.55,0,0,0,5.25,0,0.7,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12400,10435.55,0,0,0,4.65,0,0.45,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12500,10435.55,1.55,1.55,0.7,0.85,0.8,0.85,102,956.31,0.06,104325,5175
NIFTY,01-Jan-2018,28-Mar-2018,CE,12600,10435.55,0,0,0,3.35,0,0.15,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12700,10435.55,0,0,0,2.4,0,0.1,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12800,10435.55,0,0,0,1.2,0,0.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,12900,10435.55,0,0,0,0.85,0,0.05,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,6700,10435.55,3761,3761,3761,3761,3761,3761,1,7.85,2.82,49725,75
NIFTY,01-Jan-2018,28-Mar-2018,CE,6800,10435.55,0,0,0,2811.5,0,3738.3,0,0,0,0,0
NIFTY,01-Jan-2018,28-Mar-2018,CE,6900,10435.55,0,0,0,2718.05,0,3639.8,0,0,0,0,0
