Date,Open Price,High,Low,Close Price,Shares Traded,Turnover (Rs. Cr)
01-Nov-2018,10441.7,10441.9,10341.9,10380.45,359340403,18111.88
02-Nov-2018,10462.3,10606.95,10457.7,10553,434175607,21758.8
05-Nov-2018,10558.75,10558.8,10477,10524,311176379,14761.17
06-Nov-2018,10552,10600.25,10491.45,10530,309878810,14006.19
07-Nov-2018,10614.45,10616.45,10582.3,10598.4,32194181,1534.08
09-Nov-2018,10614.7,10619.55,10544.85,10585.2,305817331,15294.83
12-Nov-2018,10607.8,10645.5,10464.05,10482.2,267710127,13445.33
13-Nov-2018,10451.9,10596.25,10440.55,10582.5,262541595,13078.98
14-Nov-2018,10634.9,10651.6,10532.7,10576.3,396373781,19374.89
15-Nov-2018,10580.6,10646.5,10557.5,10616.7,306011926,14937.67
16-Nov-2018,10644,10695.15,10631.15,10682.2,353384918,16728.88
19-Nov-2018,10731.25,10774.7,10688.8,10763.4,280522364,13540.9
20-Nov-2018,10740.1,10740.85,10640.85,10656.2,304322623,13077.24
21-Nov-2018,10670.95,10671.3,10562.35,10600.05,310191008,15382.32
22-Nov-2018,10612.65,10646.25,10512,10526.75,246926671,12254.36
26-Nov-2018,10568.3,10637.8,10489.75,10628.6,332863041,15927.25
27-Nov-2018,10621.45,10695.15,10596.35,10685.6,382834178,17296.28
28-Nov-2018,10708.75,10757.8,10699.85,10728.85,437627174,17737.28
29-Nov-2018,10808.7,10883.05,10782.35,10858.7,712650890,26283.43
30-Nov-2018,10892.1,10922.45,10835.1,10876.75,467857329,19964.33
03-Dec-2018,10930.7,10941.2,10845.35,10883.75,422358631,18484.91
04-Dec-2018,10877.1,10890.95,10833.35,10869.5,332137359,15857.16
05-Dec-2018,10820.45,10821.05,10747.95,10782.9,322019985,15176.26
06-Dec-2018,10718.15,10722.65,10588.25,10601.15,328275196,16488.87
07-Dec-2018,10644.8,10704.55,10599.35,10693.7,335849636,18597.83
10-Dec-2018,10508.7,10558.85,10474.95,10488.45,393097292,16524.36
11-Dec-2018,10350.05,10567.15,10333.85,10549.15,438699334,20112.91
12-Dec-2018,10591,10752.2,10560.8,10737.6,371697496,17447.45
13-Dec-2018,10810.75,10838.6,10749.5,10791.55,387810061,17582.8
14-Dec-2018,10784.5,10815.75,10752.1,10805.45,350579275,14486.1
17-Dec-2018,10853.2,10900.35,10844.85,10888.35,306145514,12528.59
18-Dec-2018,10850.9,10915.4,10819.1,10908.7,294942271,13556.45
19-Dec-2018,10930.55,10985.15,10928,10967.3,321801803,17172.64
20-Dec-2018,10885.2,10962.55,10880.05,10951.7,328802751,14945.94
21-Dec-2018,10944.25,10963.65,10738.65,10754,389235107,18663.85
24-Dec-2018,10780.9,10782.3,10649.25,10663.5,230291344,10695.6
26-Dec-2018,10635.45,10747.5,10534.55,10729.85,271942701,12831.99
27-Dec-2018,10817.9,10834.2,10764.45,10779.8,470160392,19119.88
28-Dec-2018,10820.95,10893.6,10817.15,10859.9,253086507,12615.01
31-Dec-2018,10913.2,10923.55,10853.2,10862.55,186494657,10176.13
01-Jan-2019,10881.7,10923.6,10807.1,10910.1,159404542,8688.26
02-Jan-2019,10868.85,10895.35,10735.05,10792.5,309665939,15352.25
03-Jan-2019,10796.8,10814.05,10661.25,10672.25,286241745,15030.45
04-Jan-2019,10699.7,10741.05,10628.65,10727.35,296596655,14516.74
07-Jan-2019,10804.85,10835.95,10750.15,10771.8,269371080,12731.29
08-Jan-2019,10786.25,10818.45,10733.25,10802.15,277697672,13433.48
09-Jan-2019,10862.4,10870.4,10749.4,10855.15,333010535,16213.3
10-Jan-2019,10859.35,10859.35,10801.8,10821.6,254365477,12031.26
11-Jan-2019,10834.75,10850.15,10739.4,10794.95,260792200,13084.6
14-Jan-2019,10807,10808,10692.35,10737.6,298774178,12732.57
15-Jan-2019,10777.55,10896.95,10777.55,10886.8,310737078,14879.91
16-Jan-2019,10899.65,10928.15,10876.9,10890.3,276539042,13081.63
17-Jan-2019,10920.85,10930.65,10844.65,10905.2,271676319,13215.83
18-Jan-2019,10914.85,10928.2,10852.2,10906.95,323814108,16408.83
21-Jan-2019,10919.35,10987.45,10885.75,10961.85,288829125,17289.7
22-Jan-2019,10949.8,10949.8,10864.15,10922.75,300768112,17483.62
23-Jan-2019,10931.05,10944.8,10811.95,10831.5,298876314,14736.91
24-Jan-2019,10844.05,10866.6,10798.65,10849.8,361082096,15298.48
25-Jan-2019,10859.75,10931.7,10756.45,10780.55,463444758,20542.36
28-Jan-2019,10792.45,10804.45,10630.95,10661.55,419682627,21144.33
29-Jan-2019,10653.7,10690.35,10583.65,10652.2,356908994,18832.06
30-Jan-2019,10702.25,10710.2,10612.85,10651.8,410107910,21214.81
31-Jan-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
