"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","3600","0","0","0","6737.95","6744.7","6821.95","0","0","0","158100","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","3700","0","0","0","3782.65","0","6723.1","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","3800","0","0","0","3803.5","0","6624.25","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","3900","0","0","0","3811.6","0","6525.4","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4000","6310","6383","6299.6","6358.25","6365","6358.25","18","139.44","85.44","1061925","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4100","0","0","0","3687.85","0","6327.7","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4200","0","0","0","3626.3","0","6228.85","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4300","0","0","0","3565","0","6130","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4400","0","0","0","3504","0","6031.15","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4500","0","0","0","3443.35","0","5932.3","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4600","0","0","0","3382.95","0","5833.45","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4700","0","0","0","3322.95","0","5734.6","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4800","0","0","0","3263.3","0","5635.75","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","4900","0","0","0","3204.05","0","5536.9","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","5000","0","0","0","5188.95","5178.2","5438.05","0","0","0","24300","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","5100","0","0","0","3086.8","0","5339.2","0","0","0","0","0","-"
"NIFTY","01-Nov-2018","27-Dec-2018","CE","5200","0","0","0","3028.85","0","5240.35","0","0","0","0","0","-"
