Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,01-Nov-2018,27-Dec-2018,PE,12450,0,0,0,1272.6,0,1939.3,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12500,1995,1995,1995,1995,1995,1995,2,21.74,2.99,6825,150,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12600,0,0,0,1569.25,0,2083.85,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12700,0,0,0,1598.5,0,2180.8,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12800,0,0,0,1607.65,0,2278.1,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,12900,0,0,0,1618.75,0,2375.7,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13000,2519.05,2551.25,2472.85,2481.1,2485.2,2481.1,33,383.59,61.84,113925,2100,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13100,0,0,0,1672.2,0,2571.6,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13200,0,0,0,1634.9,0,2669.8,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13300,0,0,0,1622.5,0,2768.15,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13400,0,0,0,1642.4,0,2866.6,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13500,3012.9,3012.9,2977,2982.9,2977,2982.9,4,49.49,8.99,73950,300,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13600,0,0,0,2022,0,3063.75,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13700,0,0,0,2017.7,0,3162.4,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13800,0,0,0,2038.8,0,3261.1,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,13900,0,0,0,2060.8,0,3359.85,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,14000,3490.5,3495,3450.15,3456,3456,3456,7,91.75,18.25,381600,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,14100,0,0,0,2065.2,0,3557.4,0,0,0,0,0,10380.45
NIFTY,01-Nov-2018,27-Dec-2018,PE,9250,0,0,0,17.55,0,34.55,0,0,0,0,0,10380.45
